Institute_Name,NBA_Status,Valid_Until,last_updated,
"Anurag Polytechnic, Amritsar",ACCREDITED,01-03-2026,25-09-2023,
"Government College of Engineering, Kharagpur",Accredited,19-01-2026,17-02-2024,
"Vaagdevi College Of Engg. And Technology, Rohtak.",Not Accredited,,30-07-2023,
" Government Engineering College, Aizawl ",accredited,05-12-2026,01-02-2023,
"Srinivasa Engineering College, Agra",ACCREDITED,15-06-2026,05-07-2023,
VASAVI BUSINESS SCHOOL,ACCREDITED,13-11-2026,09-10-2023,
"  SHARDA SCHOOL OF BUSINESS ADMINISTRATION, NIZAMABAD ",ACCREDITED,,17-12-2023,
"Sri Venkateswara Engineering College, Meerut",accredited,29-06-2026,09-01-2024,
"Government College Of Engineering, Madurai",Not Accredited,11-02-2026,14-02-2023,
  Ratnagiri Ratnagiri Institute of Technology ,accredited,16-03-2026,25-04-2023,
 Nanded Engineering College ,accredited,18-05-2026,10-05-2024,
" Shri Ganesh Polytechnic, Bhopal ",not accredited,22-12-2025,06-06-2023,
"Coastal Engineering Institute. ,",accredited,25-09-2025,01-01-2023,
"Symbiosis  College of Engineering and Technology, Jabalpur",Accredited,26-09-2026,16-03-2023,
"Velammal Inst. of Engg. & Management, Vadodara",Accredited,27-11-2026,16-02-2023,
"Meerut. Aditya Institute of Pharmaceutical Sciences ,",Accredited,24-02-2026,26-09-2023,
"  Siddhartha  Institute Of Engineering And Polytechnic, Lucknow ",Accredited,23-10-2025,07-03-2024,
