Institute_Name,Closure_Year,Reason,last_updated
"Kalinga Pharmacy College, Sagar",2023,voluntarily closed,2024/03/12
" Matrusri Institute of Engineering and Technology, South Goa ",2021,Merged with another institute,2023/08/05
Gokaraju School of Architecture,2018,Poor placement record,2023/07/23
"Government Polytechnic, Panipat.",2020,affiliation revoked,2023/03/30
"Ideal Business School, North Delhi",2021,No admission for 3 consecutive years,2023/06/10
"VELAMMAL INSTITUTE OF ENGINEERING AND MANAGEMENT, VADODARA",2021,,2023/10/15
"Vels Institute of Engineering and Management, Kolhapur",2019,Merged with another institute,2023/09/30
"Sri Sathya Sai Institute of Engineering and Management, Thrissur",2018,affiliation revoked,2023/05/27
"INDORE GOVERNMENT ENGINEERING COLLEGE ,",2022,Infrastructure non-compliance,2023/12/16
"D.Y. Patil College of Engineering and Technology, Amravati",2018,voluntarily closed,2023/12/11
BALLARI HINDUSTAN INSTITUTE OF ENGINEERING AND MANAGEMENT,2021,voluntarily closed,2023/09/06
"KLE College of Engineering and Technology, Nashik",2023,Merged with another institute,2024/04/02
"Government Engineering College, Kolhapur",2018,Merged with another institute,2023/12/19
"Government Engineering College, Warangal ,",2023,Merged with another institute,2023/09/21
"  Sinhgad Institute of Technology & Science, Anantapur. ",2018,voluntarily closed,2023/09/14
"Geethanjali Institute of Management Studies, Sagar",2022,No admission for 3 consecutive years,2024/06/14
"Kalinga Inst. of Engg. and Management, Solapur",2021,voluntarily closed,2023/01/28
"Government Institute of Management, Kota",2020,affiliation revoked,2023/06/04
"Government Inst. of Management, Darbhanga",2024,voluntarily closed,2023/03/02
Sri  Sathya Sai Institute Of Science And Technology,2018,affiliation revoked,2023/11/10
"Government   Engineering College, Shimla",2020,Infrastructure non-compliance,2024/05/25
"K.S.R.  INSTITUTE OF TECHNOLOGY, VISAKHAPATNAM",2020,Poor placement record,2023/09/04
ROURKELA GOVERNMENT POLYTECHNIC,2020,No admission for 3 consecutive years,2023/04/03
"National Institute of Technology, Kolkata",2024,,2023/10/28
"Government Institute of Management, Anantapur",2020,Merged with another institute,2024/05/11
"Government College of Engineering, Karaikal",2022,affiliation revoked,2023/08/14
"Government Colg. of Engg., Alwar",2024,Poor placement record,2024/04/19
"Government College of Engineering, Ludhiana",2022,Infrastructure non-compliance,2023/10/22
" SRM Institute of Technology, Durgapur ",2021,No admission for 3 consecutive years,2024/01/28
"JAIN INSTITUTE OF TECHNOLOGY & SCIENCE, JUNAGADH",2018,,2024/04/25
"Government College of Applied Arts, Daman",2023,,2023/02/04
"  Sardar  Inst. of Business Management, Kanpur ",2020,voluntarily closed,2023/03/05
"Hindustan Business School, Gwalior",2023,Merged with another institute,2023/11/12
"Shri Institute of Technology, Purnia",2019,No admission for 3 consecutive years,2024/03/26
Thrissur Government College Of Engineering,2024,,2024/04/29
"Government Engineering College, Madurai",2020,Poor placement record,2024/05/27
Government Engineering College.,2018,affiliation revoked,2023/07/23
"Vasavi Institute of Business Management, Balasore",2018,No admission for 3 consecutive years,2024/04/14
"National  Institute of Technology, Allahabad",2019,Merged with another institute,2023/08/08
"Guru Nanak Institute of Technology, Nizamabad",2022,Infrastructure non-compliance,2023/02/15
"Government College of Engineering, Haldia",2020,voluntarily closed,2023/10/08
"Government College of Engineering, Salem",2023,Merged with another institute,2023/11/16
"Dayananda Sagar Institute of Engineering and Management, Kadapa",2018,Infrastructure non-compliance,2023/01/27
"  Matrusri  Inst. of Engg. and Management, Srinagar ",2024,No admission for 3 consecutive years,2024/04/30
"Chaitanya Engineering College, Vijayawada",2019,Merged with another institute,2023/04/02
  SYMBIOSIS COLG. OF ENGG. & TECH. ,2018,voluntarily closed,2023/01/23
"Bharat  Institute of Engineering and Management, Varanasi",2019,voluntarily closed,2023/05/06
"Government Institute of Applied Arts, West Delhi.",2019,affiliation revoked,2024/04/17
"Andhra Institute of Technology, Mohali.",2024,Poor placement record,2024/01/27
"Hindustan Institute of Technology, Ballari",2021,No admission for 3 consecutive years,2023/09/07
"  Geethanjali Inst. of Pharmaceutical Sciences, Aurangabad. ",2021,Poor placement record,2023/01/04
"Government College Of Pharmacy, Sagar.",2019,voluntarily closed,2023/05/02
"Amity Engineering College, Karimnagar ,",2023,Merged with another institute,2023/08/03
"Vasavi Institute Of Business Management, Coimbatore",2024,voluntarily closed,2024/01/06
"Sri Indu Pharmacy College, Cuttack",2023,Infrastructure non-compliance,2024/02/07
"Siddhartha  Institute Of Engineering And Polytechnic, Lucknow",2024,No admission for 3 consecutive years,2023/06/14
"Velammal  Colg. Of Engg. & Tech., Chennai",2024,Merged with another institute,2024/04/30
" Shri Ganesh Polytechnic, Bhopal ",2023,Poor placement record,2023/12/24
"  Coastal Engg. Inst., Visakhapatnam ",2018,Merged with another institute,2023/11/07
Kharagpur Old Polytechnic,2021,Merged with another institute,2023/07/22
"  Pes Engineering College, Surat ",2019,Infrastructure non-compliance,2023/03/18
  Venkateswara Institute of Technology ,2019,closed by regulatory order,2023/03/15
  GOVERNMENT COLLEGE OF MANAGEMENT STUDIES ,2022,closed by regulatory order,2023/03/01
"PES  POLYTECHNIC COLLEGE, PANIPAT",2020,closed by regulatory order,2023/04/01
  Amritsar Vignan Colg. of Engg. & Tech.. ,2022,affiliation revoked,2023/07/02
"IDEAL BUSINESS SCHOOL, GURUGRAM",2019,closed by regulatory order,2023/05/17
"BMS Engg. College, Thrissur",2019,closed by regulatory order,2023/04/01
"Government  Poly., North Delhi",2021,voluntarily closed,2023/06/28
Government College of Management Studies,2023,closed by regulatory order,2023/02/11
"Chaitanya  Institute of Polytechnic, Guntur",2021,voluntarily closed,2023/03/28
