scholarship_id,scheme_name,administering_body,amount,applicable_states,last_updated
127,National Scholarship for Persons with Disability (State Special Extension 1),Department of Empowerment of Persons with Disabilities,,Maharashtra,2026-07-29 12:00:00
128,NTA Pragati Scholarship for Girls (Diploma) (State Special Extension 1),National Scholarship Portal,,All States,2026-08-03 12:00:00
129,Vidyadhan Scholarship for Engineering (State Special Extension 1),Private Foundation / CSR,25000,All States,2026-06-26 12:00:00
13,Chief Minister's Special Scholarship Scheme,State Government,"₹1,00,000",All States,2026-06-22 12:00:00
130,Tata Trusts Merit-cum-Means Scholarship (State Special Extension 1),Private Foundation / CSR,25000,Karnataka|West Bengal|Uttar Pradesh|Telangana|Gujarat,2026-07-22 12:00:00
131,Reliance Foundation Undergraduate Scholarship (State Special Extension 1),Private Foundation / CSR,Full tuition fee,Telangana|Uttar Pradesh,2026-07-03 12:00:00
132,Aditya Birla Scholarship for Engineers (State Special Extension 1),Private Foundation / CSR,"₹1,00,000",Rajasthan,2026-07-10 12:00:00
133,Infosys Foundation Merit Scholarship (State Special Extension 1),NGO / Corporate,Tuition + hostel fee,Karnataka|Tamil Nadu,2026-07-19 12:00:00
134,L'Oréal India For Young Women in Science (State Special Extension 1),NGO / Corporate,"₹1,20,000",Rajasthan|Maharashtra,2026-08-10 12:00:00
135,Punjab Scholarship for Scheduled Castes,Punjab State Government,25000,West Bengal|Punjab|Andhra Pradesh|Uttar Pradesh,2026-06-27 12:00:00
136,CSR-funded Engineering Scholarship,Private Foundation / CSR,50000 (revised),Madhya Pradesh|Andhra Pradesh,2026-07-26 12:00:00
137,CSR-funded Engineering Scholarship,Private Foundation / CSR,50000,All States,2026-08-08 12:00:00
138,AICTE Tuition Fee Waiver for Economically Weaker Sections,AICTE,40000 (revised),Madhya Pradesh,2026-08-12 12:00:00
139,Central Sector Scheme of Scholarships for College and University Students,Ministry of Education,25000,All States,2026-06-22 12:00:00
14,Merit-cum-Means Scholarship,State Government,"₹50,000",All States,2026-07-21 12:00:00
140,Nirali Vidyarthini Scholarship,State Government,"₹1,20,000 (revised)",Odisha|Gujarat|Andhra Pradesh|Telangana|Tamil Nadu,2026-08-04 12:00:00
141,Post-Matric Scholarship for OBC Students,Ministry of Social Justice & Empowerment,"₹1,00,000",All States,2026-06-19 12:00:00
142,Vidyasiri Scholarship for Minority Students,State Government,"₹1,00,000 (revised)",All States,2026-07-24 12:00:00
143,Central Sector Scheme of Scholarships for College and University Students,Ministry of Education,Tuition + hostel fee,All States,2026-06-17 12:00:00
144,National Fellowship for OBC Students,,25000 (revised),All States,2026-07-25 12:00:00
145,Women in STEM Scholarship,NGO / Corporate,40000,Tamil Nadu,2026-08-04 12:00:00
146,AICTE Yashasvi Scholarship,AICTE,"Up to ₹8,000 per month (revised)",Andhra Pradesh|Odisha|Rajasthan|Maharashtra,2026-08-04 12:00:00
147,State Backward Classes Pre-Matric Scholarship,BC Welfare Department,,Gujarat|Telangana,2026-06-18 12:00:00
148,AICTE Pragati Scholarship for Girl Students,AICTE,"Up to ₹8,000 per month",Odisha|Karnataka|Tamil Nadu|Punjab|Maharashtra,2026-06-22 12:00:00
149,Post-Matric Scholarship for OBC Students,Ministry of Social Justice & Empowerment,Tuition + hostel fee,Uttar Pradesh|Odisha,2026-07-30 12:00:00
15,Telangana State Post-Matric Scholarship,Telangana State Government,,All States,2026-07-30 12:00:00
150,Central Sector Scheme for SC Students (Top Class),Ministry of Social Justice & Empowerment,25000,Rajasthan,2026-08-11 12:00:00
16,Maharashtra State OBC Scholarship,Maharashtra State Government,"₹1,20,000",All States,2026-07-09 12:00:00
17,Karnataka Vidyasiri Scheme,Karnataka State Government,"₹50,000",Madhya Pradesh|Odisha|Punjab|West Bengal,2026-07-04 12:00:00
18,Punjab Scholarship for Scheduled Castes,Punjab State Government,"₹20,000 per year",All States,2026-07-01 12:00:00
19,Gujarat Yuva Kaushal Scholarship,Gujarat State Government,120000,Andhra Pradesh|West Bengal|Odisha,2026-06-23 12:00:00
2,National Means-cum-Merit Scholarship,Department of School Education,"Up to ₹8,000 per month",Telangana|Gujarat,2026-08-04 12:00:00
20,Rajasthan Devnarayan Yojana,Rajasthan State Government,Full tuition fee,All States,2026-08-13 12:00:00
21,UP Pre-Matric Scholarship,Uttar Pradesh State Government,"₹50,000",Rajasthan|Telangana|Punjab,2026-06-18 12:00:00
22,West Bengal Swami Vivekananda Merit-cum-Means,West Bengal State Government,"Up to ₹8,000 per month",All States,2026-06-28 12:00:00
23,Odisha e-Medhabruti Scholarship,Odisha State Government,,Maharashtra|Madhya Pradesh|Gujarat|Karnataka|West Bengal,2026-07-06 12:00:00
24,Tamil Nadu CM's Merit Scholarship,Tamil Nadu State Government,Tuition + hostel fee,Telangana|Andhra Pradesh,2026-06-30 12:00:00
25,Andhra Pradesh Vidya Deevena,Andhra Pradesh State Government,"Up to ₹8,000 per month",Punjab|Maharashtra|Rajasthan,2026-07-28 12:00:00
26,CSR-funded Engineering Scholarship,Private Foundation / CSR,"Up to ₹8,000 per month",Madhya Pradesh|West Bengal,2026-07-05 12:00:00
27,Women in STEM Scholarship,NGO / Corporate,"₹1,00,000",Maharashtra|Punjab|Madhya Pradesh,2026-08-04 12:00:00
28,Green Energy Engineering Scholarship,NGO / Corporate,50000,Uttar Pradesh|Gujarat,2026-08-14 12:00:00
29,Tribal Development Engineering Scheme,Tribal Welfare Department,Full tuition fee,Karnataka|Telangana|Punjab,2026-07-15 12:00:00
3,AICTE Pragati Scholarship for Girls,AICTE,Full tuition fee,All States,2026-06-23 12:00:00
30,Backward Classes Post-Matric Scheme,BC Welfare Department,,All States,2026-08-02 12:00:00
31,National Fellowship for OBC Students,Ministry of Social Justice & Empowerment,120000,Madhya Pradesh|Rajasthan|Andhra Pradesh|Maharashtra|Karnataka,2026-06-19 12:00:00
32,Incentive to Girl Students for Technical Education,AICTE,40000,Uttar Pradesh|Tamil Nadu|West Bengal,2026-07-16 12:00:00
33,Special Scholarship for J&K Students,Ministry of Home Affairs,"₹50,000",All States,2026-07-31 12:00:00
34,Rural Engineering Talent Scholarship,NGO / Corporate,"₹1,20,000",Rajasthan,2026-07-07 12:00:00
35,AICTE Saraswati Scholarship,AICTE,"Up to ₹8,000 per month",West Bengal|Punjab|Maharashtra|Tamil Nadu|Odisha,2026-08-11 12:00:00
36,AICTE Yashasvi Scholarship,AICTE,120000,All States,2026-07-14 12:00:00
37,AICTE Pragati Scholarship for Girl Students,AICTE,"₹1,00,000",Karnataka|Uttar Pradesh|Odisha,2026-06-24 12:00:00
38,AICTE Saksham Scholarship for Persons with Disability,AICTE,25000,Madhya Pradesh,2026-06-27 12:00:00
39,AICTE Swanath Scholarship for Technical Education,AICTE,,Tamil Nadu|Punjab|Odisha|Maharashtra,2026-06-20 12:00:00
4,AICTE Saksham Scholarship for Differently Abled,AICTE,"₹1,00,000",Gujarat|Rajasthan|Karnataka,2026-06-18 12:00:00
40,AICTE Pragati and Saksham Scheme for PG,AICTE,"₹50,000",All States,2026-08-05 12:00:00
41,AICTE Doctoral Fellowship (ADF),AICTE,,Uttar Pradesh,2026-06-29 12:00:00
42,AICTE National Doctoral Fellowship,,"₹1,20,000",Uttar Pradesh,2026-07-02 12:00:00
43,AICTE Junior Research Fellowship,AICTE,120000,Tamil Nadu|Andhra Pradesh|Odisha|Telangana|Karnataka,2026-07-08 12:00:00
44,AICTE Tuition Fee Waiver for Economically Weaker Sections,AICTE,,Rajasthan,2026-07-24 12:00:00
45,Central Sector Scheme for SC Students (Top Class),Ministry of Social Justice & Empowerment,"₹1,20,000",All States,2026-08-08 12:00:00
46,Post-Matric Scholarship for OBC Students,Ministry of Social Justice & Empowerment,,All States,2026-07-30 12:00:00
47,Pre-Matric Scholarship for SC Students,Ministry of Social Justice & Empowerment,"₹1,00,000",All States,2026-07-25 12:00:00
48,Maulana Azad National Scholarship for Minority Girls,Ministry of Minority Affairs,"₹1,00,000",Andhra Pradesh|Rajasthan|Punjab|Madhya Pradesh|Gujarat,2026-08-08 12:00:00
49,Begum Hazrat Mahal National Scholarship,Ministry of Minority Affairs,25000,West Bengal,2026-06-30 12:00:00
5,PG Scholarship for GATE/GPAT Qualified Students,AICTE,Full tuition fee,All States,2026-07-09 12:00:00
50,Padho Pardesh — Interest Subsidy for Abroad Studies,Ministry of Minority Affairs,"₹50,000",Tamil Nadu,2026-07-13 12:00:00
51,National Scholarship for Persons with Disability,Department of Empowerment of Persons with Disabilities,40000,Karnataka,2026-07-02 12:00:00
52,NTA Pragati Scholarship for Girls (Diploma),National Scholarship Portal,"₹20,000 per year",All States,2026-08-16 12:00:00
53,Vidyadhan Scholarship for Engineering,Private Foundation / CSR,Tuition + hostel fee,Telangana|Rajasthan|Uttar Pradesh|Madhya Pradesh,2026-08-03 12:00:00
54,Tata Trusts Merit-cum-Means Scholarship,Private Foundation / CSR,"Up to ₹8,000 per month",Odisha|Andhra Pradesh|Maharashtra|Uttar Pradesh|Rajasthan,2026-07-26 12:00:00
55,Reliance Foundation Undergraduate Scholarship,Private Foundation / CSR,,Rajasthan|Maharashtra|Gujarat|Andhra Pradesh|West Bengal,2026-08-01 12:00:00
56,Aditya Birla Scholarship for Engineers,Private Foundation / CSR,25000,Karnataka|Gujarat|Uttar Pradesh,2026-06-18 12:00:00
57,Infosys Foundation Merit Scholarship,NGO / Corporate,"₹1,00,000",Karnataka|Gujarat|Telangana,2026-08-06 12:00:00
58,L'Oréal India For Young Women in Science,NGO / Corporate,"₹50,000",Punjab|Rajasthan,2026-08-10 12:00:00
59,Anant Ambani Women's Scholarship,NGO / Corporate,"₹50,000",Madhya Pradesh|Gujarat|Uttar Pradesh|Telangana,2026-07-25 12:00:00
6,Swami Vivekananda Single Girl Child Scholarship,AICTE,"Up to ₹8,000 per month",Madhya Pradesh|Andhra Pradesh|Odisha|Tamil Nadu|Maharashtra,2026-06-28 12:00:00
60,Kishore Vaigyanik Protsahan Yojana (KVPY) SX,,Full tuition fee,All States,2026-06-18 12:00:00
61,INSPIRE Scholarship for Higher Education (SHE),Department of Science & Technology,,Tamil Nadu|Karnataka|West Bengal|Rajasthan|Odisha,2026-07-21 12:00:00
62,Vigyan Dharam Scholarship for STEM,Department of Science & Technology,Tuition + hostel fee,Gujarat|Tamil Nadu|Karnataka,2026-06-21 12:00:00
63,National Scheme for Incentive to Girl Child,Ministry of Women and Child Development,"₹50,000",Madhya Pradesh|Odisha|Andhra Pradesh|Uttar Pradesh,2026-08-09 12:00:00
64,NDF Scholarship for Minority Students,National Minorities Development & Finance Corporation,"₹1,00,000",All States,2026-08-03 12:00:00
65,NMDFC Merit-cum-Means Scholarship,National Minorities Development & Finance Corporation,,Karnataka,2026-07-23 12:00:00
66,Chief Minister's Yuva Udyam Scholarship,State Government,,All States,2026-06-29 12:00:00
67,State Backward Classes Pre-Matric Scholarship,BC Welfare Department,"₹1,00,000",Maharashtra|Karnataka|Gujarat|Andhra Pradesh|Tamil Nadu,2026-07-10 12:00:00
68,Mukhyamantri Medhavi Vidyarthi Yojana,State Government,40000,Maharashtra|Andhra Pradesh|Odisha|Telangana|Tamil Nadu,2026-06-19 12:00:00
69,Jagadguru Rambhadracharya Handicapped Scholarship,State Government,,Gujarat|Telangana,2026-07-23 12:00:00
7,Dr. Ambedkar Post-Matric Scholarship,State Government,,West Bengal|Madhya Pradesh|Gujarat,2026-06-19 12:00:00
70,Dr. Panjabrao Deshmukh Post-Matric Scholarship,State Government,,Karnataka|Gujarat|Telangana|Rajasthan,2026-06-23 12:00:00
71,E-Kalyan Post-Matric Scholarship,,"₹1,00,000",Gujarat|Madhya Pradesh,2026-07-20 12:00:00
72,State Tribal Development Scholarship,Tribal Welfare Department,"₹50,000",Punjab|Maharashtra|Andhra Pradesh|Uttar Pradesh|Tamil Nadu,2026-06-21 12:00:00
73,Aadhaar-linked Direct Benefit Scholarship (DBT),State Government,"₹20,000 per year",Gujarat|Maharashtra|Punjab,2026-07-06 12:00:00
74,Vidyasiri Scholarship for Minority Students,State Government,40000,Rajasthan|West Bengal|Madhya Pradesh|Odisha|Tamil Nadu,2026-07-08 12:00:00
75,Pratibha Puraskara Scholarship,State Government,"Up to ₹2,00,000",Telangana|Andhra Pradesh|Punjab|Karnataka|Uttar Pradesh,2026-07-18 12:00:00
76,Post Matric Scholarship for SC Students (State Special Extension 1),Ministry of Social Justice & Empowerment,,Uttar Pradesh|Telangana|Rajasthan,2026-08-08 12:00:00
77,Central Sector Scheme of Scholarships for College and University Students (State Special Extension 1),,120000,All States,2026-07-24 12:00:00
78,National Means-cum-Merit Scholarship (State Special Extension 1),Department of School Education,Full tuition fee,Uttar Pradesh|Rajasthan|West Bengal|Odisha,2026-08-14 12:00:00
79,AICTE Pragati Scholarship for Girls (State Special Extension 1),AICTE,"Up to ₹2,00,000",Punjab|Odisha|Andhra Pradesh|Gujarat,2026-06-30 12:00:00
8,EBC Post-Matric Scholarship,,120000,Rajasthan|Punjab|Karnataka,2026-07-26 12:00:00
80,AICTE Saksham Scholarship for Differently Abled (State Special Extension 1),AICTE,Tuition + hostel fee,Odisha|Telangana|Punjab|Karnataka|Maharashtra,2026-06-17 12:00:00
81,PG Scholarship for GATE/GPAT Qualified Students (State Special Extension 1),AICTE,"₹1,20,000",All States,2026-08-06 12:00:00
82,Swami Vivekananda Single Girl Child Scholarship (State Special Extension 1),AICTE,"₹50,000",Maharashtra|Gujarat|Uttar Pradesh|Tamil Nadu|Madhya Pradesh,2026-07-04 12:00:00
83,Dr. Ambedkar Post-Matric Scholarship (State Special Extension 1),State Government,50000,Gujarat|Maharashtra,2026-07-19 12:00:00
84,EBC Post-Matric Scholarship (State Special Extension 1),State Government,"₹1,20,000",Rajasthan,2026-07-25 12:00:00
85,Minority Community Scholarship (MOMA) (State Special Extension 1),Ministry of Minority Affairs,"₹1,20,000",Karnataka|Gujarat|Telangana,2026-06-17 12:00:00
86,Indira Gandhi Scholarship for Single Girl Child (State Special Extension 1),Ministry of Education,,Uttar Pradesh,2026-08-06 12:00:00
87,Kishore Vaigyanik Protsahan Yojana (KVPY) (State Special Extension 1),Department of Science & Technology,Tuition + hostel fee,Maharashtra|Odisha|Gujarat|Andhra Pradesh,2026-07-10 12:00:00
88,Nirali Vidyarthini Scholarship (State Special Extension 1),State Government,Tuition + hostel fee,All States,2026-07-20 12:00:00
89,Chief Minister's Special Scholarship Scheme (State Special Extension 1),State Government,Full tuition fee,Punjab,2026-06-17 12:00:00
9,Minority Community Scholarship (MOMA),Ministry of Minority Affairs,"₹1,20,000",Uttar Pradesh|Karnataka|Maharashtra|Tamil Nadu|Telangana,2026-06-24 12:00:00
90,Merit-cum-Means Scholarship (State Special Extension 1),State Government,120000,All States,2026-08-06 12:00:00
91,Telangana State Post-Matric Scholarship (State Special Extension 1),Telangana State Government,25000,West Bengal|Rajasthan,2026-08-05 12:00:00
92,Maharashtra State OBC Scholarship (State Special Extension 1),Maharashtra State Government,"₹1,00,000",Odisha|Uttar Pradesh|Tamil Nadu,2026-07-13 12:00:00
93,Karnataka Vidyasiri Scheme (State Special Extension 1),Karnataka State Government,Full tuition fee,Gujarat|Odisha|Tamil Nadu,2026-07-15 12:00:00
94,Punjab Scholarship for Scheduled Castes (State Special Extension 1),Punjab State Government,"₹20,000 per year",Karnataka|Uttar Pradesh|Gujarat|Odisha|West Bengal,2026-08-03 12:00:00
95,Gujarat Yuva Kaushal Scholarship (State Special Extension 1),Gujarat State Government,"₹1,00,000",Rajasthan|Andhra Pradesh,2026-06-18 12:00:00
96,Rajasthan Devnarayan Yojana (State Special Extension 1),Rajasthan State Government,"Up to ₹2,00,000",All States,2026-06-28 12:00:00
97,UP Pre-Matric Scholarship (State Special Extension 1),Uttar Pradesh State Government,"₹20,000 per year",Gujarat|Karnataka,2026-07-05 12:00:00
98,West Bengal Swami Vivekananda Merit-cum-Means (State Special Extension 1),West Bengal State Government,,All States,2026-06-21 12:00:00
99,Odisha e-Medhabruti Scholarship (State Special Extension 1),Odisha State Government,"Up to ₹8,000 per month",All States,2026-07-17 12:00:00
