institution_id,institution_name,state,district,city,institute_type,ownership,approval_status,current_status,is_autonomous,nba_accredited,accreditation_valid_until,year_established,aicte_code,last_updated,nirf_rank,naac_grade
INST_0015,"Sinhgad Institute of Science and Technology, Hubballi",Karnataka,Hubballi,Hubballi,Engineering,Private,True,active,False,False,,1988.0,3-3654881540,2026-05-30,,
INST_0016,"Saveetha College of Engineering and Technology, Ambala",Haryana,Ambala,Ambala,Engineering,Private,True,active,False,False,,1973.0,1-4230227641,2026-06-20,,
INST_0017,"Government College of Engineering, Karimnagar",Telangana,Karimnagar,Karimnagar,Engineering,Govt,True,active,False,False,,2006.0,4-7776078456,2026-06-30,,
INST_0018,"Kalinga School of Management, Nagpur",Maharashtra,Nagpur,Nagpur,Management,Private,True,active,False,False,,1977.0,6-4866282994,2026-07-10,,
INST_0019,"Sree Dattha Engineering College, Nainital",Uttarakhand,Nainital,Nainital,Engineering,Private,True,active,False,True,2025-04-18,1970.0,3-7039200620,2026-07-29,,
INST_0020,"Thapar Institute of Engineering and Technology, Nashik",Maharashtra,Nashik,Nashik,Engineering,Private,True,active,False,False,,1979.0,5-6062806858,2026-06-15,,
INST_0021,"Hindustan Institute of Technology, Ballari",Karnataka,Ballari,Ballari,Engineering,Private,False,closed,False,False,,1968.0,7-6645352347,2026-06-24,,
INST_0022,"Sri Venkateswara Engineering College, Meerut",Uttar Pradesh,Meerut,Meerut,Engineering,Private,True,active,False,False,,1983.0,1-6001389164,2026-07-29,,
INST_0023,"NMAM Polytechnic College, Kanpur",Uttar Pradesh,Kanpur,Kanpur,Polytechnic,Private,True,active,True,True,2030-11-12,1995.0,8-1447724833,2026-06-11,,
INST_0024,"Mahatma Gandhi Engineering College, Sagar",Madhya Pradesh,Sagar,Sagar,Engineering,Private,True,active,False,False,,1978.0,4-3813836694,2026-06-30,,
INST_0025,"Galgotias Institute of Technology and Science, Thanjavur",Tamil Nadu,Thanjavur,Thanjavur,Autonomous,Private,True,active,False,False,,1996.0,8-1331485131,2026-05-21,,
INST_0026,"K.S.R. Institute of Technology and Science, Mangaluru",Karnataka,Mangaluru,Mangaluru,Engineering,Private,True,active,False,False,,2011.0,4-4948861893,2026-08-13,,
INST_0027,"Government College of Management Studies, Kurnool.",Andhra Pradesh,Kurnool,Kurnool,Management,Govt,True,active,False,False,,2010.0,3-2160013629,2026-06-03,,
INST_0028,"Thiagarajar Business School, Gandhinagar",Gujarat,Gandhinagar,Gandhinagar,Management,Private,True,active,False,False,,1998.0,1-6884147719,2026-08-10,,
INST_0029,"Government College of Pharmacy, Nagpur",Maharashtra,Nagpur,Nagpur,Pharmacy,Govt,True,active,False,True,2026-11-26,1991.0,2-4945052925,2026-07-20,,
INST_0030,"Symbiosis College of Pharmacy, Bhagalpur",Bihar,Bhagalpur,Bhagalpur,Pharmacy,Private,True,active,False,False,,2010.0,3-4446849349,2026-06-08,,
INST_0031,"Sri Sathya Sai College of Engineering, Adilabad",Telangana,Adilabad,Adilabad,Engineering,Private,True,active,False,False,,1989.0,1-4753384192,2026-05-18,,
INST_0032,"Government College of Pharmacy, Sagar",Madhya Pradesh,Sagar,Sagar,Pharmacy,Govt,,unapproved,False,True,2028-09-01,2016.0,1-7509447351,2026-06-01,,
INST_0033,"Government Engineering College, Madurai",Tamil Nadu,Madurai,Madurai,Engineering,Govt,,unapproved,False,False,,1961.0,1-3077462074,2026-05-18,,
INST_0034,"Thiagarajar College of Management Studies, Kolhapur",Maharashtra,Kolhapur,Kolhapur,Management,Private,True,active,False,False,,2023.0,1-3060966660,2026-06-29,,
INST_0035,"Psg College of Engineering, Durgapur",West Bengal,Durgapur,Durgapur,Engineering,Private,True,active,False,True,2024-01-23,2012.0,3-2231110187,2026-07-01,,
INST_0036,"Vishwakarma Institute of Science and Technology, Nizamabad",Telangana,Nizamabad,Nizamabad,Engineering,Private,True,active,False,False,,2008.0,6-2804207589,2026-07-29,,
INST_0037,"Sreenidhi Institute of Engineering and Management, Bengaluru",Karnataka,Bengaluru,Bengaluru,Engineering,Private,True,active,False,False,,1980.0,4-4972937598,2026-06-14,,
INST_0038,"Government Engineering College, Bhavnagar",Gujarat,Bhavnagar,Bhavnagar,Engineering,Govt,True,active,False,False,,2015.0,8-8582964864,2026-06-08,,
INST_0039,"Government Engineering College, Anantapur",Andhra Pradesh,Anantapur,Anantapur,Engineering,Govt,True,active,False,False,,1991.0,6-9922925364,2026-06-29,,
INST_0040,"D.Y. Patil Engineering College, Madurai",Tamil Nadu,Madurai,Madurai,Engineering,Private,True,active,False,False,,2006.0,7-5238695514,2026-07-31,,
INST_0041,"Government College of Engineering, Jabalpur",Madhya Pradesh,Jabalpur,Jabalpur,Engineering,Govt,True,active,True,True,2030-05-12,2014.0,2-6753828755,2026-07-24,,
INST_0042,"Sri Venkateswara Institute of Technology, Meerut",Uttar Pradesh,Meerut,Meerut,Engineering,Private,True,active,True,False,,1992.0,4-8516337518,2026-07-02,,
INST_0043,"Vasavi Institute of Business Management, Coimbatore",Tamil Nadu,Coimbatore,Coimbatore,Management,Private,False,closed,False,False,,1976.0,5-7763706472,2026-06-08,,
INST_0044,"Bharath College of Engineering, Vizianagaram",Andhra Pradesh,Vizianagaram,Vizianagaram,Engineering,Private,True,active,False,True,2026-07-30,1972.0,3-8060818839,2026-06-05,,
INST_0045,NIZAMABAD GURU NANAK INSTITUTE OF TECHNOLOGY,Telangana,Nizamabad,Nizamabad,Engineering,Private,False,closed,False,True,2027-09-05,1961.0,7-4142486461,2026-05-18,,
INST_0046,"Thiagarajar Institute of Technology and Science, Chennai",Tamil Nadu,Chennai,Chennai,Engineering,Private,True,active,False,True,2024-02-28,1975.0,2-4855771433,2026-06-16,,
INST_0047,Symbiosis Inst. of Engg. and Management,Telangana,Hyderabad,Hyderabad,Engineering,Private,True,active,False,False,,2000.0,6-4819546680,2026-06-02,,
INST_0048,"Jain Institute of Technology and Science, Junagadh",Gujarat,Junagadh,Junagadh,Engineering,Private,False,closed,False,True,2029-07-23,1980.0,3-7648093654,2026-06-16,,
INST_0049,"Reva College of Engineering and Technology, Siddipet",Telangana,Siddipet,Siddipet,Engineering,Private,,unapproved,True,True,2024-09-14,1960.0,4-7581850915,2026-06-02,,
INST_0050,"Matrusri Institute of Management Studies, Kurnool",Andhra Pradesh,Kurnool,Kurnool,Management,Private,True,active,False,True,2030-02-15,1996.0,3-4818632713,2026-08-02,,
INST_0051,"Amrita Engineering College, Haldia",West Bengal,Haldia,Haldia,Engineering,Private,True,active,False,False,,1963.0,6-5500739999,2026-08-05,,
INST_0052,"Government College of Engineering, Haldia",West Bengal,Haldia,Haldia,Engineering,Govt,,unapproved,False,False,,2016.0,3-2967679685,2026-07-26,,
INST_0053,"Government College of Engineering, Jaipur",Rajasthan,Jaipur,Jaipur,Engineering,Govt,True,active,True,False,,2000.0,3-8734938367,2026-08-09,,
INST_0054,"Matrusri Institute of Engineering and Polytechnic, Hubballi",Karnataka,Hubballi,Hubballi,Polytechnic,Private,True,active,False,False,,1986.0,3-3578789764,2026-07-14,,
INST_0055,"Government Engineering College, Ahmedabad",Gujarat,Ahmedabad,Ahmedabad,Engineering,Govt,True,active,False,False,,1971.0,3-1440985231,2026-07-01,,
INST_0056,"Government Institute of Pharmaceutical Sciences, Ludhiana",Punjab,Ludhiana,Ludhiana,Pharmacy,Govt,True,active,False,True,2026-09-11,1991.0,3-3013172253,2026-07-12,,
INST_0057,"National Institute of Technology, Kolkata",West Bengal,Kolkata,Kolkata,Autonomous,Private,False,closed,False,False,,1978.0,1-3374989859,2026-08-08,,
INST_0058,"Hindustan Institute of Applied Arts, Karimnagar",Telangana,Karimnagar,Karimnagar,Applied Arts,Private,True,active,False,True,2029-12-17,2007.0,3-5249998327,2026-05-19,,
INST_0059,"Srinivasa Colg. of Engg. & Tech., Belagavi",Karnataka,Belagavi,Belagavi,Engineering,Private,True,active,False,False,,1968.0,5-8289520434,2026-08-03,,
INST_0060,"GOVERNMENT COLLEGE OF ENGINEERING, SAGAR",Madhya Pradesh,Sagar,Sagar,Engineering,Govt,True,active,False,True,2029-09-08,2003.0,6-7344402919,2026-05-23,,
INST_0061,"Sri Sathya Sai College of Engineering and Technology, Bhopal",Madhya Pradesh,Bhopal,Bhopal,Engineering,Private,True,active,False,False,,2018.0,7-9678769599,2026-07-05,,
INST_0062,"Shri Institute of Technology, Purnia",Bihar,Purnia,Purnia,Engineering,Private,False,closed,False,True,2029-02-11,1982.0,6-9091105997,2026-06-10,,
INST_0063,"Government Institute of Management, Aurangabad",Maharashtra,Aurangabad,Aurangabad,Management,Govt,True,active,False,False,,1987.0,7-9452498891,2026-06-08,,
INST_0064,"Government Institute of Pharmaceutical Sciences, Aurangabad",Maharashtra,Aurangabad,Aurangabad,Pharmacy,Govt,True,active,False,True,2026-05-10,1999.0,5-6592847441,2026-07-11,,
INST_0065,"Guru Nanak Institute of Science and Technology, Anantapur",Andhra Pradesh,Anantapur,Anantapur,Engineering,Private,True,active,False,True,2030-03-13,1986.0,4-1209888601,2026-07-11,,
INST_0066,"Government College of Management Studies, Madurai",Tamil Nadu,Madurai,Madurai,Management,Govt,True,active,False,True,2027-11-27,2018.0,8-9331720076,2026-06-24,,
INST_0067,"Malla Reddy College of Architecture, Chennai",Tamil Nadu,Chennai,Chennai,Architecture,Private,True,active,False,True,2028-11-27,2021.0,3-4923360262,2026-07-28,,
INST_0068,"Lovely Polytechnic College, Howrah",West Bengal,Howrah,Howrah,Polytechnic,Private,True,active,True,True,2024-11-18,2016.0,7-7930455798,2026-05-24,,
INST_0069,"Government College of Architecture, North Delhi",Delhi,North Delhi,North Delhi,Architecture,Govt,True,active,False,False,,2018.0,6-1003982845,2026-07-19,,
INST_0070,"Srinivasa Institute of Engineering and Management, Chandigarh",Chandigarh,Chandigarh,Chandigarh,Engineering,Private,True,active,False,False,,2019.0,1-4146606930,2026-07-04,,
INST_0071,"Kakatiya College of Engineering, Rourkela",Odisha,Rourkela,Rourkela,Engineering,Private,False,closed,False,True,2026-12-07,1984.0,1-3771967859,2026-07-29,,
INST_0072,"CVR Institute of Applied Arts and Crafts, Tirunelveli",Tamil Nadu,Tirunelveli,Tirunelveli,Applied Arts,Private,True,active,False,True,2028-04-30,1978.0,4-9898890663,2026-05-31,,
INST_0073,"Dr. B.R. Ambedkar Institute of Science and Technology, Salem.",Tamil Nadu,Salem,Salem,Engineering,Private,True,active,True,False,,2019.0,2-7989979097,2026-06-22,,
INST_0074,"Vels Institute of Technology and Science, Solapur",Maharashtra,Solapur,Solapur,Engineering,Private,,unapproved,False,True,2028-11-26,1962.0,7-8778820193,2026-07-26,,
INST_0075,"Sinhgad Institute of Technology, Aurangabad",Maharashtra,Aurangabad,Aurangabad,Engineering,Private,True,active,False,False,,1992.0,2-7463993620,2026-07-12,,
INST_0076,"Government College of Pharmacy, Kolhapur",Maharashtra,Nagpur,Nagpur,Pharmacy,Govt,True,active,False,False,,1982.0,7-5293003446,2026-08-01,,
INST_0077,"Amity Engineering College, Surat",Gujarat,Surat,Surat,Engineering,Private,True,active,False,True,2029-06-18,2009.0,7-3667881795,2026-07-25,,
INST_0078,"Government Institute of Management, Visakhapatnam",Andhra Pradesh,Visakhapatnam,Visakhapatnam,Management,Govt,False,closed,False,False,,1962.0,7-1378211426,2026-08-04,,
INST_0079,"Lendi Pharmacy College, Alwar",Rajasthan,Alwar,Alwar,Pharmacy,Private,True,active,False,False,,1990.0,7-9938424634,2026-07-09,,
INST_0080,"Vaagdevi Institute of Science and Technology, Rewa",Madhya Pradesh,Rewa,Rewa,Autonomous,Private,True,active,False,False,,2004.0,1-3031156548,2026-08-15,,
INST_0081,"Sinhgad Institute of Technology and Science, Anantapur",Andhra Pradesh,Anantapur,Anantapur,Engineering,Private,False,closed,False,True,2030-03-08,1992.0,4-1191457315,2026-07-05,,
INST_0082,"Sri Indu College of Pharmacy and Research, Mysuru",Karnataka,Mysuru,Mysuru,Pharmacy,Private,True,active,False,False,,2018.0,2-3104724232,2026-07-15,,
INST_0083,"National Institute of Technology, Aizawl",Mizoram,Aizawl,Aizawl,Autonomous,Govt,True,active,False,False,,2016.0,6-7566320283,2026-06-13,,
INST_0084,"Anurag Institute of Technology and Science, Vadodara",Gujarat,Vadodara,Vadodara,Engineering,Private,True,active,False,False,,2003.0,6-7533303555,2026-08-06,,
INST_0085,"Government Institute of Applied Arts, Jamshedpur",Jharkhand,Jamshedpur,Jamshedpur,Applied Arts,Govt,True,active,False,False,,2010.0,8-1056172799,2026-08-08,,
INST_0086,"Symbiosis College of Engineering and Technology, Belagavi",Karnataka,Belagavi,Belagavi,Engineering,Private,,unapproved,False,False,,2014.0,5-6243742069,2026-07-11,,
INST_0087,"Government Engineering College, Thanjavur",Tamil Nadu,Thanjavur,Thanjavur,Engineering,Govt,True,active,False,False,,2011.0,5-2718409428,2026-05-19,,
INST_0088,"Kumaraguru Institute of Technology, Varanasi",Uttar Pradesh,Varanasi,Varanasi,Engineering,Private,True,active,False,False,,2017.0,1-4967534464,2026-07-12,,
INST_0089,"Velammal Institute of Engineering and Management, Vadodara",Gujarat,Vadodara,Vadodara,Engineering,Private,,unapproved,False,False,,1989.0,1-8001740574,2026-05-31,,
INST_0090,"Sharda Business School, Mysuru",Karnataka,Mysuru,Mysuru,Management,Private,True,active,False,False,,1967.0,2-5291014870,2026-08-12,,
INST_0091,"Gokaraju School of Architecture, Varanasi",Uttar Pradesh,Varanasi,Varanasi,Architecture,Private,False,closed,False,True,2030-08-17,2012.0,4-6013857864,2026-08-08,,
INST_0092,"Sri Venkateswara Institute of Science and Technology, Warangal",Telangana,Warangal,Warangal,Autonomous,Private,True,active,False,True,2027-03-15,1984.0,5-9532631980,2026-08-09,,
INST_0093,"Anurag Polytechnic, Amritsar",Punjab,Amritsar,Amritsar,Polytechnic,Private,True,active,False,False,,2009.0,1-1631581589,2026-06-27,,
INST_0094,"Velammal School of Planning and Architecture, Vijayawada",Andhra Pradesh,Vijayawada,Vijayawada,Architecture,Private,True,active,False,False,,1984.0,2-3530966658,2026-07-25,,
INST_0095,"BMS Institute of Technology and Science, Roorkee.",Uttarakhand,Roorkee,Roorkee,Engineering,Private,True,active,False,False,,1987.0,5-1267257773,2026-07-03,,
INST_0096,"Dr. B.R. Ambedkar Engineering College, Mangaluru",Karnataka,Mangaluru,Mangaluru,Engineering,Private,True,active,False,True,2029-04-19,1980.0,3-1697650245,2026-07-02,,
INST_0097,"Guru Nanak College of Engineering and Technology, Bardhaman",West Bengal,Bardhaman,Bardhaman,Engineering,Private,,unapproved,False,False,,1968.0,3-2429417939,2026-05-19,,
INST_0098,"Government College of Management Studies, Chandigarh",Chandigarh,Chandigarh,Chandigarh,Management,Govt,True,active,False,False,,1963.0,1-6074118054,2026-06-13,,
INST_0099,"D.Y. Patil Institute of Pharmaceutical Sciences, Mysuru",Karnataka,Mysuru,Mysuru,Pharmacy,Private,True,active,False,False,,1962.0,2-9702427508,2026-07-25,,
INST_0100,"Kalinga Institute of Management and Technology, Pune",Maharashtra,Pune,Pune,Management,Private,True,active,False,True,2028-10-18,1973.0,7-3357478214,2026-06-24,,
INST_0101,"Government Institute of Management, Panipat",Haryana,Panipat,Panipat,Management,Govt,True,active,False,True,2029-09-14,2000.0,8-9694777946,2026-05-22,,
INST_0102,"Ideal Business School, North Delhi",Delhi,North Delhi,North Delhi,Management,Private,False,closed,False,True,2030-12-03,1986.0,5-8684881609,2026-06-14,,
INST_0103,"NMAM College of Pharmacy, Ludhiana",Punjab,Ludhiana,Ludhiana,Pharmacy,Private,True,active,False,False,,1981.0,7-5741337207,2026-05-18,,
INST_0104,"Malla Reddy Pharmacy College, Gaya",Bihar,Gaya,Gaya,Pharmacy,Private,True,active,False,True,2025-10-29,2007.0,6-9256867265,2026-06-14,,
INST_0105,"Dayananda Sagar College of Architecture and Planning, Bhavnagar",Gujarat,Bhavnagar,Bhavnagar,Architecture,Private,True,active,False,True,2024-05-16,2018.0,5-1921560685,2026-08-02,,
INST_0106,Kurnool Government College of Engineering,Andhra Pradesh,Kurnool,Kurnool,Engineering,Govt,True,active,False,True,2024-07-26,1971.0,2-2073878766,2026-06-26,,
INST_0107,Kota Government Institute of Management,Rajasthan,Kota,Kota,Management,Govt,False,closed,False,True,2027-01-04,1997.0,6-6657043249,2026-06-22,,
INST_0108,"Girijananda Chowdhury College of Engineering, Agra",Uttar Pradesh,Agra,Agra,Engineering,Private,True,active,False,False,,1997.0,3-5373842700,2026-07-26,,
INST_0109,"Ideal Institute of Engineering and Polytechnic, South Goa",Goa,South Goa,South Goa,Polytechnic,Private,True,active,False,False,,1976.0,6-3544150160,2026-07-19,,
INST_0110,"Sreenidhi Institute of Engineering and Technology, Sambalpur",Odisha,Sambalpur,Sambalpur,Engineering,Private,True,active,False,True,2024-03-14,1994.0,3-8789865701,2026-05-20,,
INST_0111,"Bharat Institute of Technology and Science, Ballari",Karnataka,Ballari,Ballari,Engineering,Private,True,active,False,True,2026-02-22,1967.0,3-6355540381,2026-05-24,,
INST_0112,"Thapar Institute of Science and Technology, Solapur",Maharashtra,Solapur,Solapur,Autonomous,Private,True,active,False,True,2026-10-28,2016.0,6-4584153555,2026-07-22,,
INST_0113,"Government College of Engineering, Alwar",Rajasthan,Jaipur,Jaipur,Engineering,Govt,False,active,False,False,,2011.0,1-9619120288,2026-08-12,,
INST_0114,"Thapar School of Business Administration, Vijayawada",Andhra Pradesh,Vijayawada,Vijayawada,Management,Private,True,active,False,False,,1999.0,1-4196827954,2026-05-28,,
INST_0115,"Ideal Engineering College, Anantapur",Andhra Pradesh,Anantapur,Anantapur,Engineering,Private,True,active,True,False,,1990.0,4-3872204645,2026-07-17,,
INST_0116,"Government Engineering College, Shimla",Himachal Pradesh,Shimla,Shimla,Engineering,Govt,,unapproved,False,True,2029-09-22,1968.0,1-7418407683,2026-06-07,,
INST_0117,"Shri School of Applied Arts, Anantapur",Andhra Pradesh,Anantapur,Anantapur,Applied Arts,Private,True,active,False,False,,2022.0,1-3266697048,2026-05-27,,
INST_0118,Sree Dattha Institute of Architecture and Planning,Telangana,Warangal,Warangal,Architecture,Private,True,active,False,True,2029-01-01,1971.0,5-2189777716,2026-06-04,,
INST_0119,"K.S.R. Institute of Technology and Science, Bengaluru",Karnataka,Bengaluru,Bengaluru,Engineering,Private,True,active,False,False,,2020.0,5-7070164241,2026-06-07,,
INST_0120,"Government College of Engineering, Ranchi",Jharkhand,Ranchi,Ranchi,Engineering,Govt,True,active,False,False,,2008.0,6-9400124880,2026-08-10,,
INST_0121,"Government Engineering College, Mohali",Punjab,Mohali,Mohali,Engineering,Govt,True,active,False,False,,1995.0,4-3100937601,2026-06-26,,
INST_0122,"Government College of Engineering, Nashik",Maharashtra,Nashik,Nashik,Engineering,Govt,True,active,False,False,,1980.0,3-7279191012,2026-05-19,,
INST_0123,"Government College of Management Studies, Nashik",Maharashtra,Nashik,Nashik,Management,Govt,True,active,False,False,,1994.0,7-2180023117,2026-07-03,,
INST_0124,"Bapatla College of Engineering, Kanpur",Uttar Pradesh,Kanpur,Kanpur,Engineering,Private,True,active,True,True,2024-02-02,1989.0,5-8835161877,2026-08-09,,
INST_0125,"Geethanjali Institute of Pharmaceutical Sciences, Aurangabad",Maharashtra,Aurangabad,Aurangabad,Pharmacy,Private,,unapproved,False,False,,1976.0,1-9317048082,2026-08-13,,
INST_0126,"Institute of Technology, Amravati",Maharashtra,Amravati,Amravati,Autonomous,Govt,True,active,False,True,2025-07-11,2013.0,4-5120686525,2026-08-04,,
INST_0127,"Dayananda Sagar School of Planning and Architecture, Varanasi",Uttar Pradesh,Varanasi,Varanasi,Architecture,Private,True,active,True,False,,2014.0,8-5823008976,2026-07-04,,
INST_0128,"Chaitanya Institute of Engineering and Technology, Agra",Uttar Pradesh,Agra,Agra,Engineering,Private,True,active,True,True,2024-12-04,1961.0,7-8251875583,2026-07-10,,
INST_0129,"Karunya Institute of Engineering and Management, Lucknow",Uttar Pradesh,Lucknow,Lucknow,Engineering,Private,True,active,False,True,2025-08-24,2000.0,7-5851691547,2026-06-03,,
INST_0130,"Chaitanya Institute of Engineering and Technology, Ujjain",Madhya Pradesh,Ujjain,Ujjain,Engineering,Private,True,active,False,True,2026-03-17,2017.0,3-9135791844,2026-08-12,,
INST_0131,Nashik G.L. Bajaj Polytechnic College,Maharashtra,Nashik,Nashik,Polytechnic,Private,True,active,False,True,2028-08-25,1999.0,2-5606603084,2026-08-08,,
INST_0132,"Srinivasa Institute of Technology, Nashik",Maharashtra,Nashik,Nashik,Autonomous,Private,True,active,False,True,2030-06-30,1976.0,7-5348660837,2026-05-28,,
INST_0133,"Government College of Engineering, Vijayawada",Andhra Pradesh,Vijayawada,Vijayawada,Engineering,Govt,True,active,False,False,,2000.0,8-3902234505,2026-06-26,,
INST_0134,"Government Engineering College, Ajmer",Rajasthan,Ajmer,Ajmer,Engineering,Govt,True,active,False,False,,1997.0,3-7489407004,2026-07-08,,
INST_0135,"Hindustan College of Engineering, Vadodara.",Gujarat,Vadodara,Vadodara,Engineering,Private,True,active,False,False,,2021.0,8-2254808942,2026-08-12,,
INST_0136,"G.L. Bajaj Institute of Management and Technology, Pune",Maharashtra,Pune,Pune,Management,Private,False,closed,False,False,,1971.0,7-4190038140,2026-06-29,,
INST_0137,"Jain College of Architecture, Surat",Gujarat,Surat,Surat,Architecture,Private,True,active,False,False,,1968.0,6-6944789113,2026-07-15,,
INST_0138,"Reva Institute of Science and Technology, Jaipur",Rajasthan,Jaipur,Jaipur,Engineering,Private,True,active,False,False,,1998.0,4-4013059718,2026-05-23,,
INST_0139,"Ideal College of Engineering and Technology, Jodhpur.",Rajasthan,Jodhpur,Jodhpur,Engineering,Private,True,active,False,False,,1972.0,4-9475060802,2026-06-14,,
INST_0140,"GOVERNMENT INSTITUTE OF MANAGEMENT, VELLORE",Tamil Nadu,Vellore,Vellore,Management,Govt,True,active,False,False,,2022.0,8-5634264435,2026-06-04,,
INST_0141,"Vels Institute of Engineering and Technology, Allahabad",Uttar Pradesh,Allahabad,Allahabad,Engineering,Private,True,active,False,True,2026-01-07,1998.0,7-9749021933,2026-07-01,,
INST_0142,"Anurag Institute of Technology and Science, Jaipur",Rajasthan,Jaipur,Jaipur,Engineering,Private,True,active,False,False,,2008.0,6-5357638679,2026-06-18,,
INST_0143,"Sinhgad Institute of Engineering and Polytechnic, Hyderabad",Telangana,Hyderabad,Hyderabad,Polytechnic,Private,True,active,False,False,,2007.0,6-9337341731,2026-07-24,,
INST_0144,"Government College of Engineering, Coimbatore",Tamil Nadu,Coimbatore,Coimbatore,Engineering,Govt,True,active,True,True,2029-04-03,1970.0,5-7277998801,2026-05-31,,
INST_0145,"Matrusri Institute of Engineering and Technology, South Goa",Goa,South Goa,South Goa,Engineering,Private,,unapproved,False,False,,1995.0,1-8705021979,2026-07-04,,
INST_0146,"Government College of Engineering, Anantapur",Andhra Pradesh,Anantapur,Anantapur,Engineering,Govt,True,active,True,False,,1973.0,2-1416993835,2026-07-24,,
INST_0147,"Government Institute of Management, Tirunelveli",Tamil Nadu,Tirunelveli,Tirunelveli,Management,Govt,True,active,True,True,2027-07-05,2021.0,7-8540910041,2026-08-16,,
INST_0148,"Jain Institute of Science and Technology, Bilaspur",Chhattisgarh,Bilaspur,Bilaspur,Engineering,Private,True,active,False,False,,2010.0,5-9594012586,2026-08-01,,
INST_0149,"Government College of Engineering, Bikaner",Rajasthan,Bikaner,Bikaner,Engineering,Govt,True,active,False,False,,1989.0,7-7591380552,2026-06-10,,
INST_0150,Salem Government College of Engineering,Tamil Nadu,Salem,Salem,Engineering,Govt,,unapproved,False,True,2029-06-08,1991.0,6-5894207340,2026-06-22,,
INST_0151,"Mahatma Gandhi Pharmacy College, Faridabad",Haryana,Faridabad,Faridabad,Pharmacy,Private,True,active,False,False,,1978.0,8-6617873037,2026-06-18,,
INST_0152,"Reva Institute of Engineering and Technology, Varanasi",Uttar Pradesh,Varanasi,Varanasi,Engineering,Private,True,active,False,False,,1965.0,2-9235991747,2026-05-29,,
INST_0153,"Amity Engineering College, Karimnagar",Telangana,Karimnagar,Karimnagar,Engineering,Private,False,closed,False,True,2028-06-23,2020.0,6-7220904263,2026-06-12,,
INST_0154,"Sathyabama Institute of Polytechnic, Purnia",Bihar,Purnia,Purnia,Polytechnic,Private,True,active,False,True,2028-03-25,1994.0,6-9364768279,2026-07-08,,
INST_0155,"Government Institute of Management, Guntur",Andhra Pradesh,Guntur,Guntur,Management,Govt,True,active,False,False,,1981.0,1-2181891577,2026-08-07,,
INST_0156,"Sri Venkateswara Institute of Science and Technology, Haldia",West Bengal,Haldia,Haldia,Engineering,Private,True,active,False,True,2030-11-19,1967.0,8-8564383966,2026-07-11,,
INST_0157,"Government College of Management Studies, Belagavi",Karnataka,Belagavi,Belagavi,Management,Govt,True,active,False,False,,1991.0,3-9394674849,2026-07-15,,
INST_0158,"Kalinga Engineering College, Nagpur",Maharashtra,Nagpur,Nagpur,Engineering,Private,True,active,False,False,,2019.0,2-2058154354,2026-07-07,,
