approval_id,institution_id,approval_type,nba_status,valid_until,closure_year,reason,state,last_updated
APR_00029,INST_0395,nba,not accredited,16-11-2025,,,,09-03-2024
APR_00030,INST_0167,nba,Not Accredited,,,,,13-05-2023
APR_00031,INST_0521,nba,not accredited,31-10-2026,,,,28-09-2023
APR_00032,INST_0469,nba,Not Accredited,,,,,17-03-2023
APR_00033,INST_0015,nba,Not Accredited,,,,,07-04-2024
APR_00034,INST_0026,nba,not accredited,02-11-2025,,,,30-05-2024
APR_00035,INST_0275,nba,Not Accredited,10-09-2026,,,,27-06-2023
APR_00036,INST_0320,nba,ACCREDITED,19-01-2026,,,,21-03-2024
APR_00037,INST_0423,nba,accredited,18-10-2026,,,,13-05-2024
APR_00038,INST_0403,nba,Accredited,01-10-2026,,,,24-07-2023
APR_00039,INST_0198,nba,accredited,15-08-2025,,,,16-07-2023
APR_00040,INST_0053,nba,accredited,03-10-2025,,,,12-05-2023
APR_00041,INST_0361,nba,not accredited,21-10-2026,,,,15-05-2023
APR_00042,INST_0355,nba,Accredited,12-08-2025,,,,30-06-2023
APR_00043,INST_0035,nba,ACCREDITED,21-04-2026,,,,29-01-2023
APR_00044,INST_0255,nba,accredited,17-05-2026,,,,19-04-2024
APR_00045,INST_0029,nba,accredited,22-04-2026,,,,16-05-2023
APR_00046,INST_0382,nba,Not Accredited,15-03-2026,,,,21-10-2023
APR_00047,INST_0497,nba,not accredited,,,,,26-02-2024
APR_00048,INST_0135,nba,not accredited,14-11-2026,,,,03-08-2023
APR_00049,INST_0425,nba,Not Accredited,13-03-2026,,,,22-05-2023
APR_00050,INST_0011,nba,not accredited,29-10-2026,,,,07-08-2023
APR_00051,INST_0014,nba,Not Accredited,,,,,17-01-2023
APR_00052,INST_0017,nba,not accredited,16-11-2025,,,,23-06-2024
APR_00053,INST_0328,nba,not accredited,28-06-2026,,,,30-06-2023
APR_00054,INST_0032,nba,Not Accredited,08-10-2025,,,,06-03-2023
APR_00055,INST_0041,nba,not accredited,07-01-2026,,,,06-05-2024
APR_00056,INST_0096,nba,ACCREDITED,17-11-2026,,,,17-06-2023
APR_00057,INST_0107,nba,Not accredited,18-12-2025,,,,12-08-2023
APR_00058,INST_0156,nba,accredited,20-11-2025,,,,13-10-2023
APR_00059,INST_0460,nba,accredited,31-08-2026,,,,01-02-2023
APR_00060,INST_0286,nba,ACCREDITED,15-09-2025,,,,18-05-2024
APR_00061,INST_0060,nba,ACCREDITED,02-04-2026,,,,29-10-2023
APR_00062,INST_0448,nba,Accredited,,,,,13-01-2023
APR_00063,INST_0266,nba,ACCREDITED,13-09-2025,,,,21-06-2024
APR_00064,INST_0093,nba,ACCREDITED,01-03-2026,,,,25-09-2023
APR_00065,INST_0255,nba,Accredited,19-01-2026,,,,17-02-2024
APR_00066,INST_0212,nba,Not Accredited,,,,,30-07-2023
APR_00067,INST_0274,nba,accredited,05-12-2026,,,,01-02-2023
APR_00068,INST_0327,nba,ACCREDITED,15-06-2026,,,,05-07-2023
APR_00069,INST_0266,nba,ACCREDITED,13-11-2026,,,,09-10-2023
APR_00070,INST_0397,nba,ACCREDITED,,,,,17-12-2023
APR_00071,INST_0022,nba,accredited,29-06-2026,,,,09-01-2024
APR_00072,INST_0200,nba,Not Accredited,11-02-2026,,,,14-02-2023
APR_00073,INST_0522,nba,accredited,16-03-2026,,,,25-04-2023
APR_00074,INST_0523,nba,accredited,18-05-2026,,,,10-05-2024
APR_00075,INST_0524,nba,not accredited,22-12-2025,,,,06-06-2023
APR_00076,INST_0525,nba,accredited,25-09-2025,,,,01-01-2023
APR_00077,INST_0008,nba,Accredited,26-09-2026,,,,16-03-2023
APR_00078,INST_0089,nba,Accredited,27-11-2026,,,,16-02-2023
APR_00079,INST_0175,nba,Accredited,24-02-2026,,,,26-09-2023
APR_00080,INST_0260,nba,Accredited,23-10-2025,,,,07-03-2024
APR_00081,INST_0169,closed,,,2021,Infrastructure non-compliance,,2023/02/07
APR_00082,INST_0342,closed,,,2019,affiliation revoked,,2023/07/05
APR_00083,INST_0167,closed,,,2024,Merged with another institute,,2023/06/27
APR_00084,INST_0181,closed,,,2023,No admission for 3 consecutive years,,2023/10/09
APR_00085,INST_0074,closed,,,2019,voluntarily closed,,2023/06/02
APR_00086,INST_0097,closed,,,2022,affiliation revoked,,2023/11/27
APR_00087,INST_0494,closed,,,2023,Infrastructure non-compliance,,2024/05/27
APR_00088,INST_0233,closed,,,2022,,,2024/06/18
APR_00089,INST_0086,closed,,,2018,No admission for 3 consecutive years,,2024/02/08
APR_00090,INST_0385,closed,,,2021,affiliation revoked,,2023/06/03
APR_00091,INST_0049,closed,,,2022,voluntarily closed,,2023/08/07
APR_00092,INST_0265,closed,,,2018,Infrastructure non-compliance,,2023/03/24
APR_00093,INST_0381,closed,,,2020,No admission for 3 consecutive years,,2023/08/25
APR_00094,INST_0322,closed,,,2018,affiliation revoked,,2023/10/14
APR_00095,INST_0175,closed,,,2023,voluntarily closed,,2024/06/04
APR_00096,INST_0136,closed,,,2018,Merged with another institute,,2023/08/28
APR_00097,INST_0251,closed,,,2023,No admission for 3 consecutive years,,2023/11/12
APR_00098,INST_0325,closed,,,2018,affiliation revoked,,2024/03/04
APR_00099,INST_0470,closed,,,2022,No admission for 3 consecutive years,,2023/12/12
APR_00100,INST_0249,closed,,,2021,voluntarily closed,,2024/04/24
APR_00101,INST_0441,closed,,,2024,Poor placement record,,2023/03/28
APR_00102,INST_0014,closed,,,2022,Poor placement record,,2023/12/17
APR_00103,INST_0078,closed,,,2022,affiliation revoked,,2024/05/28
APR_00104,INST_0396,closed,,,2022,Poor placement record,,2023/08/28
APR_00105,INST_0339,closed,,,2023,Poor placement record,,2024/03/25
APR_00106,INST_0382,closed,,,2021,Merged with another institute,,2024/03/07
APR_00107,INST_0172,closed,,,2022,affiliation revoked,,2024/06/27
APR_00108,INST_0071,closed,,,2021,Infrastructure non-compliance,,2023/04/01
APR_00109,INST_0313,closed,,,2023,voluntarily closed,,2024/03/12
APR_00110,INST_0145,closed,,,2021,Merged with another institute,,2023/08/05
APR_00111,INST_0091,closed,,,2018,Poor placement record,,2023/07/23
APR_00112,INST_0234,closed,,,2020,affiliation revoked,,2023/03/30
APR_00113,INST_0102,closed,,,2021,No admission for 3 consecutive years,,2023/06/10
APR_00114,INST_0089,closed,,,2021,,,2023/10/15
APR_00115,INST_0219,closed,,,2019,Merged with another institute,,2023/09/30
APR_00116,INST_0005,closed,,,2018,affiliation revoked,,2023/05/27
APR_00117,INST_0382,closed,,,2022,Infrastructure non-compliance,,2023/12/16
APR_00118,INST_0456,closed,,,2018,voluntarily closed,,2023/12/11
APR_00119,INST_0495,closed,,,2021,voluntarily closed,,2023/09/06
APR_00120,INST_0392,closed,,,2023,Merged with another institute,,2024/04/02
APR_00121,INST_0382,closed,,,2018,Merged with another institute,,2023/12/19
APR_00122,INST_0382,closed,,,2023,Merged with another institute,,2023/09/21
APR_00123,INST_0081,closed,,,2018,voluntarily closed,,2023/09/14
APR_00124,INST_0248,closed,,,2022,No admission for 3 consecutive years,,2024/06/14
APR_00125,INST_0412,closed,,,2021,voluntarily closed,,2023/01/28
APR_00126,INST_0107,closed,,,2020,affiliation revoked,,2023/06/04
APR_00127,INST_0434,closed,,,2024,voluntarily closed,,2023/03/02
APR_00128,INST_0192,closed,,,2018,affiliation revoked,,2023/11/10
APR_00129,INST_0116,closed,,,2020,Infrastructure non-compliance,,2024/05/25
APR_00130,INST_0271,closed,,,2020,Poor placement record,,2023/09/04
APR_00131,INST_0474,closed,,,2020,No admission for 3 consecutive years,,2023/04/03
APR_00132,INST_0057,closed,,,2024,,,2023/10/28
APR_00133,INST_0012,closed,,,2020,Merged with another institute,,2024/05/11
APR_00134,INST_0242,closed,,,2022,affiliation revoked,,2023/08/14
APR_00135,INST_0113,closed,,,2024,Poor placement record,,2024/04/19
APR_00136,INST_0255,closed,,,2022,Infrastructure non-compliance,,2023/10/22
APR_00137,INST_0007,closed,,,2021,No admission for 3 consecutive years,,2024/01/28
APR_00138,INST_0048,closed,,,2018,,,2024/04/25
APR_00139,INST_0205,closed,,,2023,,,2023/02/04
APR_00140,INST_0311,closed,,,2020,voluntarily closed,,2023/03/05
APR_00141,INST_0364,closed,,,2023,Merged with another institute,,2023/11/12
APR_00142,INST_0062,closed,,,2019,No admission for 3 consecutive years,,2024/03/26
APR_00143,INST_0255,closed,,,2024,,,2024/04/29
APR_00144,INST_0033,closed,,,2020,Poor placement record,,2024/05/27
APR_00145,INST_0001,closed,,,2018,affiliation revoked,,2023/07/23
APR_00146,INST_0262,closed,,,2018,No admission for 3 consecutive years,,2024/04/14
APR_00147,INST_0160,closed,,,2019,Merged with another institute,,2023/08/08
APR_00148,INST_0045,closed,,,2022,Infrastructure non-compliance,,2023/02/15
APR_00149,INST_0052,closed,,,2020,voluntarily closed,,2023/10/08
APR_00150,INST_0150,closed,,,2023,Merged with another institute,,2023/11/16
APR_00151,INST_0358,closed,,,2018,Infrastructure non-compliance,,2023/01/27
APR_00152,INST_0302,closed,,,2024,No admission for 3 consecutive years,,2024/04/30
APR_00153,INST_0226,closed,,,2019,Merged with another institute,,2023/04/02
APR_00154,INST_0008,closed,,,2018,voluntarily closed,,2023/01/23
APR_00155,INST_0184,closed,,,2019,voluntarily closed,,2023/05/06
APR_00156,INST_0307,closed,,,2019,affiliation revoked,,2024/04/17
APR_00157,INST_0003,closed,,,2024,Poor placement record,,2024/01/27
APR_00158,INST_0021,closed,,,2021,No admission for 3 consecutive years,,2023/09/07
APR_00159,INST_0125,closed,,,2021,Poor placement record,,2023/01/04
APR_00160,INST_0032,closed,,,2019,voluntarily closed,,2023/05/02
APR_00161,INST_0153,closed,,,2023,Merged with another institute,,2023/08/03
APR_00162,INST_0043,closed,,,2024,voluntarily closed,,2024/01/06
APR_00163,INST_0191,closed,,,2023,Infrastructure non-compliance,,2024/02/07
APR_00164,INST_0260,closed,,,2024,No admission for 3 consecutive years,,2023/06/14
APR_00165,INST_0217,closed,,,2024,Merged with another institute,,2024/04/30
APR_00166,INST_0524,closed,,,2023,Poor placement record,,2023/12/24
APR_00167,INST_0525,closed,,,2018,Merged with another institute,,2023/11/07
APR_00168,INST_0526,closed,,,2021,Merged with another institute,,2023/07/22
APR_00169,INST_0004,closed,,,2019,Infrastructure non-compliance,,2023/03/18
APR_00170,INST_0042,closed,,,2019,closed by regulatory order,,2023/03/15
APR_00171,INST_0027,closed,,,2022,closed by regulatory order,,2023/03/01
APR_00172,INST_0159,closed,,,2020,closed by regulatory order,,2023/04/01
APR_00173,INST_0215,closed,,,2022,affiliation revoked,,2023/07/02
APR_00174,INST_0277,closed,,,2019,closed by regulatory order,,2023/05/17
APR_00175,INST_0323,closed,,,2019,closed by regulatory order,,2023/04/01
APR_00176,INST_0390,closed,,,2021,voluntarily closed,,2023/06/28
APR_00177,INST_0027,closed,,,2023,closed by regulatory order,,2023/02/11
APR_00178,INST_0488,closed,,,2021,voluntarily closed,,2023/03/28
APR_00179,INST_0145,unapproved,,,,,South Goa,01 May 2023
APR_00180,INST_0249,unapproved,,,,,Junagadh,28 Apr 2024
APR_00181,INST_0175,unapproved,,,,,Meerut,24 Apr 2024
APR_00182,INST_0045,unapproved,,,,,Nizamabad,02 Aug 2023
APR_00183,INST_0125,unapproved,,,,,Aurangabad,21 Jan 2024
APR_00184,INST_0382,unapproved,,,,,Ludhiana,04 Feb 2024
APR_00185,INST_0191,unapproved,,,,,Cuttack,08 Jul 2023
APR_00186,INST_0226,unapproved,,,,,Vijayawada,03 Oct 2023
APR_00187,INST_0012,unapproved,,,,,Anantapur,05 Apr 2024
APR_00188,INST_0396,unapproved,,,,,Siddipet,16 Mar 2023
APR_00189,INST_0008,unapproved,,,,,Jabalpur,07 Nov 2023
APR_00190,INST_0078,unapproved,,,,,Visakhapatnam,18 Mar 2023
APR_00191,INST_0005,unapproved,,,,,Thrissur,04 Feb 2023
APR_00192,INST_0470,unapproved,,,,,Hyderabad,26 Sep 2023
APR_00193,INST_0102,unapproved,,,,,Delhi,07 Mar 2023
APR_00194,INST_0302,unapproved,,,,,Srinagar,03 Jan 2024
APR_00195,INST_0271,unapproved,,,,,Visakhapatnam,16 Feb 2023
APR_00196,INST_0342,unapproved,,,,,Delhi,08 Jul 2023
APR_00197,INST_0184,unapproved,,,,,Varanasi,11 Jun 2023
APR_00198,INST_0234,unapproved,,,,,Panipat,20 Feb 2023
APR_00199,INST_0181,unapproved,,,,,Anantapur,15 Apr 2024
APR_00200,INST_0057,unapproved,,,,,Kolkata,08 Jun 2023
APR_00201,INST_0255,unapproved,,,,,Thrissur,28 Jul 2023
APR_00202,INST_0382,unapproved,,,,,Nashik,31 Oct 2023
APR_00203,INST_0007,unapproved,,,,,Durgapur,09 Jan 2023
APR_00204,INST_0260,unapproved,,,,,Lucknow,06 Sep 2023
APR_00205,INST_0233,unapproved,,,,,Howrah,25 Feb 2023
APR_00206,INST_0456,unapproved,,,,,Amravati,17 Apr 2024
APR_00207,INST_0242,unapproved,,,,,Karaikal,18 Jun 2024
APR_00208,INST_0136,unapproved,,,,,Pune,22 Dec 2023
APR_00209,INST_0200,unapproved,,,,,Madurai,04 Sep 2023
APR_00210,INST_0412,unapproved,,,,,Solapur,28 Feb 2024
APR_00211,INST_0494,unapproved,,,,,Jamshedpur,30 Sep 2023
APR_00212,INST_0071,unapproved,,,,,Rourkela,26 Mar 2024
APR_00213,INST_0339,unapproved,,,,,Jorhat,22 Apr 2024
APR_00214,INST_0358,unapproved,,,,,Kadapa,06 Apr 2023
APR_00215,INST_0248,unapproved,,,,,Sagar,07 Jul 2023
APR_00216,INST_0251,unapproved,,,,,Kolhapur,18 Feb 2024
APR_00217,INST_0265,unapproved,,,,,Ballari,09 Jul 2023
APR_00218,INST_0089,unapproved,,,,,Vadodara,09 Jan 2024
APR_00219,INST_0150,unapproved,,,,,Salem,28 Apr 2023
APR_00220,INST_0014,unapproved,,,,,Indore,02 Sep 2023
APR_00221,INST_0081,unapproved,,,,,Anantapur,12 Jan 2023
APR_00222,INST_0192,unapproved,,,,,Muzaffarpur,22 May 2024
APR_00223,INST_0057,unapproved,,,,,Allahabad,19 Jan 2023
APR_00224,INST_0495,unapproved,,,,,Ballari,03 May 2023
APR_00225,INST_0217,unapproved,,,,,Chennai,18 Mar 2024
APR_00226,INST_0048,unapproved,,,,,Junagadh,22 Jun 2023
APR_00227,INST_0434,unapproved,,,,,Darbhanga,23 Mar 2024
APR_00228,INST_0032,unapproved,,,,,Sagar,02 Mar 2024
APR_00229,INST_0392,unapproved,,,,,Nashik,13 Sep 2023
APR_00230,INST_0086,unapproved,,,,,Belagavi,16 Jan 2024
APR_00231,INST_0325,unapproved,,,,,Amravati,06 Nov 2023
APR_00232,INST_0116,unapproved,,,,,Shimla,02 Jan 2024
APR_00233,INST_0074,unapproved,,,,,Solapur,10 Apr 2024
APR_00234,INST_0056,unapproved,,,,,Jalandhar,24 Mar 2023
APR_00235,INST_0311,unapproved,,,,,Kanpur,11 Jul 2023
APR_00236,INST_0307,unapproved,,,,,Delhi,06 May 2024
APR_00237,INST_0205,unapproved,,,,,Daman,12 Jun 2024
APR_00238,INST_0097,unapproved,,,,,Bardhaman,05 Jun 2023
APR_00239,INST_0167,unapproved,,,,,Adilabad,26 Oct 2023
APR_00240,INST_0049,unapproved,,,,,Siddipet,12 Jan 2023
APR_00241,INST_0169,unapproved,,,,,Delhi,02 Mar 2023
APR_00242,INST_0091,unapproved,,,,,Varanasi,28 Feb 2024
APR_00243,INST_0052,unapproved,,,,,Haldia,22 Sep 2023
APR_00244,INST_0382,unapproved,,,,,Indore,12 Sep 2023
APR_00245,INST_0385,unapproved,,,,,Varanasi,28 Mar 2023
APR_00246,INST_0062,unapproved,,,,,Purnia,25 Jun 2024
APR_00247,INST_0313,unapproved,,,,,Sagar,10 Jun 2024
APR_00248,INST_0021,unapproved,,,,,Ballari,08 Nov 2023
APR_00249,INST_0262,unapproved,,,,,Balasore,04 Mar 2024
APR_00250,INST_0043,unapproved,,,,,Coimbatore,30 May 2023
APR_00251,INST_0001,unapproved,,,,,Vizianagaram,15 Jun 2023
APR_00252,INST_0255,unapproved,,,,,Warangal,10 Sep 2023
APR_00253,INST_0107,unapproved,,,,,Kota,10 Feb 2024
APR_00254,INST_0382,unapproved,,,,,Kolhapur,01 May 2023
APR_00255,INST_0322,unapproved,,,,,Allahabad,21 Mar 2023
APR_00256,INST_0077,unapproved,,,,,Karimnagar,23 Mar 2024
APR_00257,INST_0441,unapproved,,,,,Allahabad,29 Mar 2024
APR_00258,INST_0474,unapproved,,,,,Rourkela,19 Sep 2023
APR_00259,INST_0003,unapproved,,,,,Mohali,14 Aug 2023
APR_00260,INST_0113,unapproved,,,,,Alwar,23 Jun 2024
APR_00261,INST_0364,unapproved,,,,,Gwalior,21 Aug 2023
APR_00262,INST_0219,unapproved,,,,,Kolhapur,03 Apr 2023
APR_00263,INST_0172,unapproved,,,,,Panipat,30 Mar 2023
APR_00264,INST_0527,unapproved,,,,,Bikaner,25 Apr 2023
APR_00265,INST_0528,unapproved,,,,,Haldia,22 Mar 2024
APR_00266,INST_0529,unapproved,,,,,Etawah,29 Jun 2023
APR_00267,INST_0530,unapproved,,,,,Jhansi,18 Feb 2024
APR_00268,INST_0010,unapproved,,,,,Mandi,18 Jun 2023
APR_00269,INST_0067,unapproved,,,,,Chennai,25 Feb 2023
APR_00270,INST_0001,unapproved,,,,,Ajmer,16 Jul 2023
APR_00271,INST_0202,unapproved,,,,,Aurangabad,04 Jul 2023
APR_00272,INST_0269,unapproved,,,,,Varanasi,02 Jun 2024
APR_00273,INST_0351,unapproved,,,,,Durgapur,28 Jan 2024
