id,canonical_entity_id,source_system,source_database,source_table,source_record_id,transformation_version,validation_status,ingestion_timestamp
20296,INST_0029,mysql,aicte_institutes,institutes,28,v1,loaded,2026-08-17 10:10:48.758218+00:00
20297,INST_0030,mysql,aicte_institutes,institutes,29,v1,loaded,2026-08-17 10:10:48.758218+00:00
20298,INST_0031,mysql,aicte_institutes,institutes,30,v1,loaded,2026-08-17 10:10:48.758218+00:00
20299,INST_0032,mysql,aicte_institutes,institutes,31,v1,loaded,2026-08-17 10:10:48.758218+00:00
20300,INST_0033,mysql,aicte_institutes,institutes,32,v1,loaded,2026-08-17 10:10:48.758218+00:00
20301,INST_0034,mysql,aicte_institutes,institutes,33,v1,loaded,2026-08-17 10:10:48.758218+00:00
20302,INST_0035,mysql,aicte_institutes,institutes,34,v1,loaded,2026-08-17 10:10:48.758218+00:00
20303,INST_0036,mysql,aicte_institutes,institutes,35,v1,loaded,2026-08-17 10:10:48.758218+00:00
20304,INST_0037,mysql,aicte_institutes,institutes,36,v1,loaded,2026-08-17 10:10:48.758218+00:00
20305,INST_0038,mysql,aicte_institutes,institutes,37,v1,loaded,2026-08-17 10:10:48.758218+00:00
20306,INST_0039,mysql,aicte_institutes,institutes,38,v1,loaded,2026-08-17 10:10:48.758218+00:00
20307,INST_0040,mysql,aicte_institutes,institutes,39,v1,loaded,2026-08-17 10:10:48.758218+00:00
20308,INST_0041,mysql,aicte_institutes,institutes,40,v1,loaded,2026-08-17 10:10:48.758218+00:00
20309,INST_0042,mysql,aicte_institutes,institutes,41,v1,loaded,2026-08-17 10:10:48.758218+00:00
20310,INST_0043,mysql,aicte_institutes,institutes,42,v1,loaded,2026-08-17 10:10:48.758218+00:00
20311,INST_0044,mysql,aicte_institutes,institutes,43,v1,loaded,2026-08-17 10:10:48.758218+00:00
20312,INST_0045,mysql,aicte_institutes,institutes,44,v1,loaded,2026-08-17 10:10:48.758218+00:00
20313,INST_0046,mysql,aicte_institutes,institutes,45,v1,loaded,2026-08-17 10:10:48.758218+00:00
20314,INST_0047,mysql,aicte_institutes,institutes,46,v1,loaded,2026-08-17 10:10:48.758218+00:00
20315,INST_0048,mysql,aicte_institutes,institutes,47,v1,loaded,2026-08-17 10:10:48.758218+00:00
20316,INST_0049,mysql,aicte_institutes,institutes,48,v1,loaded,2026-08-17 10:10:48.758218+00:00
20317,INST_0050,mysql,aicte_institutes,institutes,49,v1,loaded,2026-08-17 10:10:48.758218+00:00
20318,INST_0051,mysql,aicte_institutes,institutes,50,v1,loaded,2026-08-17 10:10:48.758218+00:00
20319,INST_0052,mysql,aicte_institutes,institutes,51,v1,loaded,2026-08-17 10:10:48.758218+00:00
20320,INST_0053,mysql,aicte_institutes,institutes,53,v1,loaded,2026-08-17 10:10:48.758218+00:00
20321,INST_0054,mysql,aicte_institutes,institutes,54,v1,loaded,2026-08-17 10:10:48.758218+00:00
20322,INST_0055,mysql,aicte_institutes,institutes,55,v1,loaded,2026-08-17 10:10:48.758218+00:00
20323,INST_0056,mysql,aicte_institutes,institutes,56,v1,loaded,2026-08-17 10:10:48.758218+00:00
20324,INST_0057,mysql,aicte_institutes,institutes,57,v1,loaded,2026-08-17 10:10:48.758218+00:00
20325,INST_0058,mysql,aicte_institutes,institutes,58,v1,loaded,2026-08-17 10:10:48.758218+00:00
20326,INST_0059,mysql,aicte_institutes,institutes,59,v1,loaded,2026-08-17 10:10:48.758218+00:00
20327,INST_0060,mysql,aicte_institutes,institutes,60,v1,loaded,2026-08-17 10:10:48.758218+00:00
20328,INST_0061,mysql,aicte_institutes,institutes,61,v1,loaded,2026-08-17 10:10:48.758218+00:00
20329,INST_0062,mysql,aicte_institutes,institutes,62,v1,loaded,2026-08-17 10:10:48.758218+00:00
20330,INST_0063,mysql,aicte_institutes,institutes,63,v1,loaded,2026-08-17 10:10:48.758218+00:00
20331,INST_0064,mysql,aicte_institutes,institutes,64,v1,loaded,2026-08-17 10:10:48.758218+00:00
20332,INST_0065,mysql,aicte_institutes,institutes,65,v1,loaded,2026-08-17 10:10:48.758218+00:00
20333,INST_0066,mysql,aicte_institutes,institutes,66,v1,loaded,2026-08-17 10:10:48.758218+00:00
20334,INST_0067,mysql,aicte_institutes,institutes,67,v1,loaded,2026-08-17 10:10:48.758218+00:00
20335,INST_0068,mysql,aicte_institutes,institutes,68,v1,loaded,2026-08-17 10:10:48.758218+00:00
20336,INST_0069,mysql,aicte_institutes,institutes,69,v1,loaded,2026-08-17 10:10:48.758218+00:00
20337,INST_0070,mysql,aicte_institutes,institutes,70,v1,loaded,2026-08-17 10:10:48.758218+00:00
20338,INST_0071,mysql,aicte_institutes,institutes,71,v1,loaded,2026-08-17 10:10:48.758218+00:00
20339,INST_0072,mysql,aicte_institutes,institutes,72,v1,loaded,2026-08-17 10:10:48.758218+00:00
20340,INST_0073,mysql,aicte_institutes,institutes,73,v1,loaded,2026-08-17 10:10:48.758218+00:00
20341,INST_0074,mysql,aicte_institutes,institutes,74,v1,loaded,2026-08-17 10:10:48.758218+00:00
20342,INST_0075,mysql,aicte_institutes,institutes,75,v1,loaded,2026-08-17 10:10:48.758218+00:00
20343,INST_0076,mysql,aicte_institutes,institutes,76,v1,loaded,2026-08-17 10:10:48.758218+00:00
20344,INST_0077,mysql,aicte_institutes,institutes,77,v1,loaded,2026-08-17 10:10:48.758218+00:00
20345,INST_0078,mysql,aicte_institutes,institutes,78,v1,loaded,2026-08-17 10:10:48.758218+00:00
20346,INST_0079,mysql,aicte_institutes,institutes,79,v1,loaded,2026-08-17 10:10:48.758218+00:00
20347,INST_0080,mysql,aicte_institutes,institutes,80,v1,loaded,2026-08-17 10:10:48.758218+00:00
20348,INST_0081,mysql,aicte_institutes,institutes,81,v1,loaded,2026-08-17 10:10:48.758218+00:00
20349,INST_0082,mysql,aicte_institutes,institutes,82,v1,loaded,2026-08-17 10:10:48.758218+00:00
20350,INST_0083,mysql,aicte_institutes,institutes,83,v1,loaded,2026-08-17 10:10:48.758218+00:00
20351,INST_0084,mysql,aicte_institutes,institutes,84,v1,loaded,2026-08-17 10:10:48.758218+00:00
20352,INST_0085,mysql,aicte_institutes,institutes,85,v1,loaded,2026-08-17 10:10:48.758218+00:00
20353,INST_0086,mysql,aicte_institutes,institutes,86,v1,loaded,2026-08-17 10:10:48.758218+00:00
20354,INST_0087,mysql,aicte_institutes,institutes,87,v1,loaded,2026-08-17 10:10:48.758218+00:00
20355,INST_0088,mysql,aicte_institutes,institutes,88,v1,loaded,2026-08-17 10:10:48.758218+00:00
20356,INST_0089,mysql,aicte_institutes,institutes,89,v1,loaded,2026-08-17 10:10:48.758218+00:00
20357,INST_0090,mysql,aicte_institutes,institutes,90,v1,loaded,2026-08-17 10:10:48.758218+00:00
20358,INST_0091,mysql,aicte_institutes,institutes,91,v1,loaded,2026-08-17 10:10:48.758218+00:00
20359,INST_0092,mysql,aicte_institutes,institutes,92,v1,loaded,2026-08-17 10:10:48.758218+00:00
20360,INST_0093,mysql,aicte_institutes,institutes,93,v1,loaded,2026-08-17 10:10:48.758218+00:00
20361,INST_0094,mysql,aicte_institutes,institutes,94,v1,loaded,2026-08-17 10:10:48.758218+00:00
20362,INST_0095,mysql,aicte_institutes,institutes,95,v1,loaded,2026-08-17 10:10:48.758218+00:00
20363,INST_0096,mysql,aicte_institutes,institutes,96,v1,loaded,2026-08-17 10:10:48.758218+00:00
20364,INST_0097,mysql,aicte_institutes,institutes,97,v1,loaded,2026-08-17 10:10:48.758218+00:00
20365,INST_0098,mysql,aicte_institutes,institutes,98,v1,loaded,2026-08-17 10:10:48.758218+00:00
20366,INST_0099,mysql,aicte_institutes,institutes,99,v1,loaded,2026-08-17 10:10:48.758218+00:00
20367,INST_0100,mysql,aicte_institutes,institutes,100,v1,loaded,2026-08-17 10:10:48.758218+00:00
20368,INST_0101,mysql,aicte_institutes,institutes,101,v1,loaded,2026-08-17 10:10:48.758218+00:00
20369,INST_0102,mysql,aicte_institutes,institutes,102,v1,loaded,2026-08-17 10:10:48.758218+00:00
20370,INST_0103,mysql,aicte_institutes,institutes,103,v1,loaded,2026-08-17 10:10:48.758218+00:00
20371,INST_0104,mysql,aicte_institutes,institutes,104,v1,loaded,2026-08-17 10:10:48.758218+00:00
20372,INST_0105,mysql,aicte_institutes,institutes,105,v1,loaded,2026-08-17 10:10:48.758218+00:00
20373,INST_0106,mysql,aicte_institutes,institutes,106,v1,loaded,2026-08-17 10:10:48.758218+00:00
20374,INST_0107,mysql,aicte_institutes,institutes,107,v1,loaded,2026-08-17 10:10:48.758218+00:00
20375,INST_0108,mysql,aicte_institutes,institutes,108,v1,loaded,2026-08-17 10:10:48.758218+00:00
20376,INST_0109,mysql,aicte_institutes,institutes,109,v1,loaded,2026-08-17 10:10:48.758218+00:00
20377,INST_0110,mysql,aicte_institutes,institutes,110,v1,loaded,2026-08-17 10:10:48.758218+00:00
20378,INST_0111,mysql,aicte_institutes,institutes,111,v1,loaded,2026-08-17 10:10:48.758218+00:00
20379,INST_0112,mysql,aicte_institutes,institutes,112,v1,loaded,2026-08-17 10:10:48.758218+00:00
20380,INST_0113,mysql,aicte_institutes,institutes,113,v1,loaded,2026-08-17 10:10:48.758218+00:00
20381,INST_0114,mysql,aicte_institutes,institutes,114,v1,loaded,2026-08-17 10:10:48.758218+00:00
20382,INST_0115,mysql,aicte_institutes,institutes,115,v1,loaded,2026-08-17 10:10:48.758218+00:00
20383,INST_0116,mysql,aicte_institutes,institutes,116,v1,loaded,2026-08-17 10:10:48.758218+00:00
20384,INST_0117,mysql,aicte_institutes,institutes,117,v1,loaded,2026-08-17 10:10:48.758218+00:00
20385,INST_0118,mysql,aicte_institutes,institutes,119,v1,loaded,2026-08-17 10:10:48.758218+00:00
20386,INST_0119,mysql,aicte_institutes,institutes,120,v1,loaded,2026-08-17 10:10:48.758218+00:00
20387,INST_0120,mysql,aicte_institutes,institutes,121,v1,loaded,2026-08-17 10:10:48.758218+00:00
20388,INST_0121,mysql,aicte_institutes,institutes,122,v1,loaded,2026-08-17 10:10:48.758218+00:00
20389,INST_0122,mysql,aicte_institutes,institutes,123,v1,loaded,2026-08-17 10:10:48.758218+00:00
20390,INST_0123,mysql,aicte_institutes,institutes,124,v1,loaded,2026-08-17 10:10:48.758218+00:00
20391,INST_0124,mysql,aicte_institutes,institutes,125,v1,loaded,2026-08-17 10:10:48.758218+00:00
20392,INST_0125,mysql,aicte_institutes,institutes,126,v1,loaded,2026-08-17 10:10:48.758218+00:00
20393,INST_0126,mysql,aicte_institutes,institutes,127,v1,loaded,2026-08-17 10:10:48.758218+00:00
20394,INST_0127,mysql,aicte_institutes,institutes,128,v1,loaded,2026-08-17 10:10:48.758218+00:00
20395,INST_0128,mysql,aicte_institutes,institutes,130,v1,loaded,2026-08-17 10:10:48.758218+00:00
20396,INST_0129,mysql,aicte_institutes,institutes,131,v1,loaded,2026-08-17 10:10:48.758218+00:00
20397,INST_0130,mysql,aicte_institutes,institutes,132,v1,loaded,2026-08-17 10:10:48.758218+00:00
20398,INST_0131,mysql,aicte_institutes,institutes,133,v1,loaded,2026-08-17 10:10:48.758218+00:00
20399,INST_0132,mysql,aicte_institutes,institutes,134,v1,loaded,2026-08-17 10:10:48.758218+00:00
20400,INST_0133,mysql,aicte_institutes,institutes,135,v1,loaded,2026-08-17 10:10:48.758218+00:00
20401,INST_0134,mysql,aicte_institutes,institutes,136,v1,loaded,2026-08-17 10:10:48.758218+00:00
20402,INST_0135,mysql,aicte_institutes,institutes,137,v1,loaded,2026-08-17 10:10:48.758218+00:00
20403,INST_0136,mysql,aicte_institutes,institutes,138,v1,loaded,2026-08-17 10:10:48.758218+00:00
20404,INST_0137,mysql,aicte_institutes,institutes,139,v1,loaded,2026-08-17 10:10:48.758218+00:00
20405,INST_0138,mysql,aicte_institutes,institutes,140,v1,loaded,2026-08-17 10:10:48.758218+00:00
20406,INST_0139,mysql,aicte_institutes,institutes,141,v1,loaded,2026-08-17 10:10:48.758218+00:00
20407,INST_0140,mysql,aicte_institutes,institutes,142,v1,loaded,2026-08-17 10:10:48.758218+00:00
20408,INST_0141,mysql,aicte_institutes,institutes,143,v1,loaded,2026-08-17 10:10:48.758218+00:00
20409,INST_0142,mysql,aicte_institutes,institutes,144,v1,loaded,2026-08-17 10:10:48.758218+00:00
20410,INST_0143,mysql,aicte_institutes,institutes,146,v1,loaded,2026-08-17 10:10:48.758218+00:00
20411,INST_0144,mysql,aicte_institutes,institutes,147,v1,loaded,2026-08-17 10:10:48.758218+00:00
20412,INST_0145,mysql,aicte_institutes,institutes,148,v1,loaded,2026-08-17 10:10:48.758218+00:00
20413,INST_0146,mysql,aicte_institutes,institutes,149,v1,loaded,2026-08-17 10:10:48.758218+00:00
20414,INST_0147,mysql,aicte_institutes,institutes,150,v1,loaded,2026-08-17 10:10:48.758218+00:00
20415,INST_0148,mysql,aicte_institutes,institutes,151,v1,loaded,2026-08-17 10:10:48.758218+00:00
20416,INST_0149,mysql,aicte_institutes,institutes,152,v1,loaded,2026-08-17 10:10:48.758218+00:00
20417,INST_0150,mysql,aicte_institutes,institutes,153,v1,loaded,2026-08-17 10:10:48.758218+00:00
20418,INST_0151,mysql,aicte_institutes,institutes,154,v1,loaded,2026-08-17 10:10:48.758218+00:00
20419,INST_0152,mysql,aicte_institutes,institutes,155,v1,loaded,2026-08-17 10:10:48.758218+00:00
20420,INST_0153,mysql,aicte_institutes,institutes,156,v1,loaded,2026-08-17 10:10:48.758218+00:00
20421,INST_0154,mysql,aicte_institutes,institutes,157,v1,loaded,2026-08-17 10:10:48.758218+00:00
20422,INST_0155,mysql,aicte_institutes,institutes,158,v1,loaded,2026-08-17 10:10:48.758218+00:00
20423,INST_0156,mysql,aicte_institutes,institutes,159,v1,loaded,2026-08-17 10:10:48.758218+00:00
20424,INST_0157,mysql,aicte_institutes,institutes,161,v1,loaded,2026-08-17 10:10:48.758218+00:00
20425,INST_0158,mysql,aicte_institutes,institutes,162,v1,loaded,2026-08-17 10:10:48.758218+00:00
20426,INST_0159,mysql,aicte_institutes,institutes,163,v1,loaded,2026-08-17 10:10:48.758218+00:00
20427,INST_0160,mysql,aicte_institutes,institutes,164,v1,loaded,2026-08-17 10:10:48.758218+00:00
20428,INST_0161,mysql,aicte_institutes,institutes,166,v1,loaded,2026-08-17 10:10:48.758218+00:00
20429,INST_0162,mysql,aicte_institutes,institutes,167,v1,loaded,2026-08-17 10:10:48.758218+00:00
20430,INST_0163,mysql,aicte_institutes,institutes,168,v1,loaded,2026-08-17 10:10:48.758218+00:00
20431,INST_0164,mysql,aicte_institutes,institutes,169,v1,loaded,2026-08-17 10:10:48.758218+00:00
20432,INST_0165,mysql,aicte_institutes,institutes,170,v1,loaded,2026-08-17 10:10:48.758218+00:00
20433,INST_0166,mysql,aicte_institutes,institutes,171,v1,loaded,2026-08-17 10:10:48.758218+00:00
20434,INST_0167,mysql,aicte_institutes,institutes,172,v1,loaded,2026-08-17 10:10:48.758218+00:00
20435,INST_0168,mysql,aicte_institutes,institutes,173,v1,loaded,2026-08-17 10:10:48.758218+00:00
20436,INST_0169,mysql,aicte_institutes,institutes,174,v1,loaded,2026-08-17 10:10:48.758218+00:00
20437,INST_0170,mysql,aicte_institutes,institutes,175,v1,loaded,2026-08-17 10:10:48.758218+00:00
20438,INST_0171,mysql,aicte_institutes,institutes,176,v1,loaded,2026-08-17 10:10:48.758218+00:00
20439,INST_0172,mysql,aicte_institutes,institutes,177,v1,loaded,2026-08-17 10:10:48.758218+00:00
20440,INST_0173,mysql,aicte_institutes,institutes,178,v1,loaded,2026-08-17 10:10:48.758218+00:00
20441,INST_0174,mysql,aicte_institutes,institutes,179,v1,loaded,2026-08-17 10:10:48.758218+00:00
20442,INST_0175,mysql,aicte_institutes,institutes,181,v1,loaded,2026-08-17 10:10:48.758218+00:00
20443,INST_0176,mysql,aicte_institutes,institutes,182,v1,loaded,2026-08-17 10:10:48.758218+00:00
20444,INST_0177,mysql,aicte_institutes,institutes,183,v1,loaded,2026-08-17 10:10:48.758218+00:00
20445,INST_0178,mysql,aicte_institutes,institutes,185,v1,loaded,2026-08-17 10:10:48.758218+00:00
20446,INST_0179,mysql,aicte_institutes,institutes,186,v1,loaded,2026-08-17 10:10:48.758218+00:00
20447,INST_0180,mysql,aicte_institutes,institutes,188,v1,loaded,2026-08-17 10:10:48.758218+00:00
20448,INST_0181,mysql,aicte_institutes,institutes,189,v1,loaded,2026-08-17 10:10:48.758218+00:00
20449,INST_0182,mysql,aicte_institutes,institutes,190,v1,loaded,2026-08-17 10:10:48.758218+00:00
20450,INST_0183,mysql,aicte_institutes,institutes,191,v1,loaded,2026-08-17 10:10:48.758218+00:00
20451,INST_0184,mysql,aicte_institutes,institutes,192,v1,loaded,2026-08-17 10:10:48.758218+00:00
20452,INST_0185,mysql,aicte_institutes,institutes,193,v1,loaded,2026-08-17 10:10:48.758218+00:00
20453,INST_0186,mysql,aicte_institutes,institutes,194,v1,loaded,2026-08-17 10:10:48.758218+00:00
20454,INST_0187,mysql,aicte_institutes,institutes,195,v1,loaded,2026-08-17 10:10:48.758218+00:00
20455,INST_0188,mysql,aicte_institutes,institutes,196,v1,loaded,2026-08-17 10:10:48.758218+00:00
20456,INST_0189,mysql,aicte_institutes,institutes,198,v1,loaded,2026-08-17 10:10:48.758218+00:00
20457,INST_0190,mysql,aicte_institutes,institutes,200,v1,loaded,2026-08-17 10:10:48.758218+00:00
20458,INST_0191,mysql,aicte_institutes,institutes,201,v1,loaded,2026-08-17 10:10:48.758218+00:00
20459,INST_0192,mysql,aicte_institutes,institutes,202,v1,loaded,2026-08-17 10:10:48.758218+00:00
20460,INST_0193,mysql,aicte_institutes,institutes,203,v1,loaded,2026-08-17 10:10:48.758218+00:00
20461,INST_0194,mysql,aicte_institutes,institutes,204,v1,loaded,2026-08-17 10:10:48.758218+00:00
20462,INST_0195,mysql,aicte_institutes,institutes,205,v1,loaded,2026-08-17 10:10:48.758218+00:00
20463,INST_0196,mysql,aicte_institutes,institutes,207,v1,loaded,2026-08-17 10:10:48.758218+00:00
20464,INST_0197,mysql,aicte_institutes,institutes,208,v1,loaded,2026-08-17 10:10:48.758218+00:00
20465,INST_0198,mysql,aicte_institutes,institutes,209,v1,loaded,2026-08-17 10:10:48.758218+00:00
20466,INST_0199,mysql,aicte_institutes,institutes,210,v1,loaded,2026-08-17 10:10:48.758218+00:00
20467,INST_0200,mysql,aicte_institutes,institutes,211,v1,loaded,2026-08-17 10:10:48.758218+00:00
20468,INST_0201,mysql,aicte_institutes,institutes,212,v1,loaded,2026-08-17 10:10:48.758218+00:00
20469,INST_0202,mysql,aicte_institutes,institutes,213,v1,loaded,2026-08-17 10:10:48.758218+00:00
20470,INST_0203,mysql,aicte_institutes,institutes,214,v1,loaded,2026-08-17 10:10:48.758218+00:00
20471,INST_0204,mysql,aicte_institutes,institutes,215,v1,loaded,2026-08-17 10:10:48.758218+00:00
20472,INST_0205,mysql,aicte_institutes,institutes,216,v1,loaded,2026-08-17 10:10:48.758218+00:00
20473,INST_0206,mysql,aicte_institutes,institutes,217,v1,loaded,2026-08-17 10:10:48.758218+00:00
20474,INST_0207,mysql,aicte_institutes,institutes,218,v1,loaded,2026-08-17 10:10:48.758218+00:00
20475,INST_0208,mysql,aicte_institutes,institutes,219,v1,loaded,2026-08-17 10:10:48.758218+00:00
20476,INST_0209,mysql,aicte_institutes,institutes,220,v1,loaded,2026-08-17 10:10:48.758218+00:00
20477,INST_0210,mysql,aicte_institutes,institutes,221,v1,loaded,2026-08-17 10:10:48.758218+00:00
20478,INST_0211,mysql,aicte_institutes,institutes,223,v1,loaded,2026-08-17 10:10:48.758218+00:00
20479,INST_0212,mysql,aicte_institutes,institutes,224,v1,loaded,2026-08-17 10:10:48.758218+00:00
20480,INST_0213,mysql,aicte_institutes,institutes,225,v1,loaded,2026-08-17 10:10:48.758218+00:00
20481,INST_0214,mysql,aicte_institutes,institutes,226,v1,loaded,2026-08-17 10:10:48.758218+00:00
20482,INST_0215,mysql,aicte_institutes,institutes,227,v1,loaded,2026-08-17 10:10:48.758218+00:00
20483,INST_0216,mysql,aicte_institutes,institutes,228,v1,loaded,2026-08-17 10:10:48.758218+00:00
20484,INST_0217,mysql,aicte_institutes,institutes,229,v1,loaded,2026-08-17 10:10:48.758218+00:00
20485,INST_0218,mysql,aicte_institutes,institutes,230,v1,loaded,2026-08-17 10:10:48.758218+00:00
20486,INST_0219,mysql,aicte_institutes,institutes,231,v1,loaded,2026-08-17 10:10:48.758218+00:00
20487,INST_0220,mysql,aicte_institutes,institutes,233,v1,loaded,2026-08-17 10:10:48.758218+00:00
20488,INST_0221,mysql,aicte_institutes,institutes,234,v1,loaded,2026-08-17 10:10:48.758218+00:00
20489,INST_0222,mysql,aicte_institutes,institutes,235,v1,loaded,2026-08-17 10:10:48.758218+00:00
20490,INST_0223,mysql,aicte_institutes,institutes,236,v1,loaded,2026-08-17 10:10:48.758218+00:00
20491,INST_0224,mysql,aicte_institutes,institutes,237,v1,loaded,2026-08-17 10:10:48.758218+00:00
20492,INST_0225,mysql,aicte_institutes,institutes,238,v1,loaded,2026-08-17 10:10:48.758218+00:00
20493,INST_0226,mysql,aicte_institutes,institutes,239,v1,loaded,2026-08-17 10:10:48.758218+00:00
20494,INST_0227,mysql,aicte_institutes,institutes,241,v1,loaded,2026-08-17 10:10:48.758218+00:00
20495,INST_0228,mysql,aicte_institutes,institutes,242,v1,loaded,2026-08-17 10:10:48.758218+00:00
20496,INST_0229,mysql,aicte_institutes,institutes,243,v1,loaded,2026-08-17 10:10:48.758218+00:00
20497,INST_0230,mysql,aicte_institutes,institutes,244,v1,loaded,2026-08-17 10:10:48.758218+00:00
20498,INST_0231,mysql,aicte_institutes,institutes,245,v1,loaded,2026-08-17 10:10:48.758218+00:00
20499,INST_0232,mysql,aicte_institutes,institutes,246,v1,loaded,2026-08-17 10:10:48.758218+00:00
20500,INST_0233,mysql,aicte_institutes,institutes,247,v1,loaded,2026-08-17 10:10:48.758218+00:00
20501,INST_0234,mysql,aicte_institutes,institutes,248,v1,loaded,2026-08-17 10:10:48.758218+00:00
20502,INST_0235,mysql,aicte_institutes,institutes,249,v1,loaded,2026-08-17 10:10:48.758218+00:00
20503,INST_0236,mysql,aicte_institutes,institutes,250,v1,loaded,2026-08-17 10:10:48.758218+00:00
20504,INST_0237,mysql,aicte_institutes,institutes,251,v1,loaded,2026-08-17 10:10:48.758218+00:00
20505,INST_0238,mysql,aicte_institutes,institutes,252,v1,loaded,2026-08-17 10:10:48.758218+00:00
20506,INST_0239,mysql,aicte_institutes,institutes,253,v1,loaded,2026-08-17 10:10:48.758218+00:00
20507,INST_0240,mysql,aicte_institutes,institutes,255,v1,loaded,2026-08-17 10:10:48.758218+00:00
20508,INST_0241,mysql,aicte_institutes,institutes,256,v1,loaded,2026-08-17 10:10:48.758218+00:00
20509,INST_0242,mysql,aicte_institutes,institutes,257,v1,loaded,2026-08-17 10:10:48.758218+00:00
20510,INST_0243,mysql,aicte_institutes,institutes,259,v1,loaded,2026-08-17 10:10:48.758218+00:00
20511,INST_0244,mysql,aicte_institutes,institutes,260,v1,loaded,2026-08-17 10:10:48.758218+00:00
20512,INST_0245,mysql,aicte_institutes,institutes,261,v1,loaded,2026-08-17 10:10:48.758218+00:00
20513,INST_0246,mysql,aicte_institutes,institutes,262,v1,loaded,2026-08-17 10:10:48.758218+00:00
20514,INST_0247,mysql,aicte_institutes,institutes,263,v1,loaded,2026-08-17 10:10:48.758218+00:00
20515,INST_0248,mysql,aicte_institutes,institutes,264,v1,loaded,2026-08-17 10:10:48.758218+00:00
20516,INST_0249,mysql,aicte_institutes,institutes,265,v1,loaded,2026-08-17 10:10:48.758218+00:00
20517,INST_0250,mysql,aicte_institutes,institutes,266,v1,loaded,2026-08-17 10:10:48.758218+00:00
20518,INST_0251,mysql,aicte_institutes,institutes,267,v1,loaded,2026-08-17 10:10:48.758218+00:00
20519,INST_0252,mysql,aicte_institutes,institutes,268,v1,loaded,2026-08-17 10:10:48.758218+00:00
20520,INST_0253,mysql,aicte_institutes,institutes,269,v1,loaded,2026-08-17 10:10:48.758218+00:00
20521,INST_0254,mysql,aicte_institutes,institutes,270,v1,loaded,2026-08-17 10:10:48.758218+00:00
20522,INST_0255,mysql,aicte_institutes,institutes,272,v1,loaded,2026-08-17 10:10:48.758218+00:00
20523,INST_0256,mysql,aicte_institutes,institutes,273,v1,loaded,2026-08-17 10:10:48.758218+00:00
20524,INST_0257,mysql,aicte_institutes,institutes,274,v1,loaded,2026-08-17 10:10:48.758218+00:00
