course_id,institution_id,course_name,department,duration_years,intake_capacity,fee_per_year,course_status,last_updated
CRS_1032,INST_0376,Diploma in Artificial Intelligence,DIP-AI,3,70,188061.00,active,2022-07-28 12:00:00
CRS_1033,INST_0376,B.Tech Automobile Engineering,AUTO,4,101,108745.00,active,2026-04-28 12:00:00
CRS_1034,INST_0377,B.Tech Civil Engineering,CIVIL,4,63,193715.00,active,2022-10-23 12:00:00
CRS_1035,INST_0377,B.Tech Electronics and Communication Engineering,ECE,4,40,135466.00,active,2024-01-01 12:00:00
CRS_1036,INST_0377,B.Tech Automobile Engineering,AUTO,4,171,198894.00,active,2023-10-07 12:00:00
CRS_1037,INST_0378,Diploma in Electrical Engineering,DIP-EEE,3,100,29145.00,active,2026-04-18 12:00:00
CRS_1038,INST_0378,M.Tech Computer Science,PG-CSE,2,161,95437.00,closed,2026-07-27 12:00:00
CRS_1039,INST_0378,B.Tech Computer Science and Business Systems,CSBS,4,35,244177.00,active,2026-05-03 12:00:00
CRS_104,INST_0037,Diploma in Mechanical Engineering,DIP-MECH,3,101,176900.00,active,2025-02-26 12:00:00
CRS_1040,INST_0379,B.Tech Mechanical Engineering,MECH,4,78,244933.00,active,2022-03-01 12:00:00
CRS_1041,INST_0379,B.Tech Computer Science and Engineering,CSE,4,144,208861.00,active,2023-11-20 12:00:00
CRS_1042,INST_0379,Diploma in Electrical Engineering,DIP-EEE,3,104,132111.00,active,2026-08-15 12:00:00
CRS_1043,INST_0380,Diploma in Civil Engineering,DIP-CIVIL,3,53,55251.00,active,2026-06-27 12:00:00
CRS_1044,INST_0380,B.Tech Computer Science and Engineering,CSE,4,152,222670.00,active,2023-12-03 12:00:00
CRS_1045,INST_0380,M.Tech Power Systems,PG-EEE,2,61,154691.00,closed,2024-01-03 12:00:00
CRS_1046,INST_0380,B.Tech Internet of Things,IOT,4,47,109762.00,closed,2023-02-27 12:00:00
CRS_1047,INST_0381,B.Tech Internet of Things,IOT,4,44,85793.00,active,2022-12-10 12:00:00
CRS_1048,INST_0381,Diploma in Computer Engineering,DIP-CSE,3,160,245653.00,active,2026-08-03 12:00:00
CRS_1049,INST_0381,Diploma in Mechanical Engineering,DIP-MECH,3,173,52486.00,active,2026-07-23 12:00:00
CRS_105,INST_0038,B.Tech Mechanical Engineering,MECH,4,116,104980.00,active,2025-05-22 12:00:00
CRS_1050,INST_0382,B.Tech Data Science,DS,4,86,218981.00,active,2026-08-13 12:00:00
CRS_1051,INST_0382,B.Tech Electronics and Communication Engineering,ECE,4,88,136101.00,active,2026-05-12 12:00:00
CRS_1052,INST_0382,B.Arch,ARCH,5,126,166233.00,active,2026-04-30 12:00:00
CRS_1053,INST_0382,Diploma in Computer Engineering,DIP-CSE,3,97,113580.00,active,2026-08-12 12:00:00
CRS_1054,INST_0383,B.Tech Computer Science and Business Systems,CSBS,4,101,74976.00,active,2026-05-07 12:00:00
CRS_1055,INST_0383,B.Tech Automobile Engineering,AUTO,4,169,210712.00,closed,2024-06-27 12:00:00
CRS_1056,INST_0383,B.Tech Aerospace Engineering,AE,4,43,102549.00,active,2026-07-05 12:00:00
CRS_1057,INST_0384,B.Tech Automobile Engineering,AUTO,4,93,159347.00,active,2026-07-17 12:00:00
CRS_1058,INST_0384,M.Tech Artificial Intelligence,PG-AI,2,115,137842.00,active,2026-06-17 12:00:00
CRS_1059,INST_0384,B.Tech Data Science,DS,4,139,179961.00,active,2024-10-10 12:00:00
CRS_106,INST_0038,B.Tech Data Science,DS,4,96,70196.00,active,2025-05-05 12:00:00
CRS_1060,INST_0384,MBA Business Analytics,MBA-BA,2,174,103569.00,active,2023-06-29 12:00:00
CRS_1061,INST_0385,M.Tech Computer Science,PG-CSE,2,119,159833.00,active,2021-08-29 12:00:00
CRS_1062,INST_0385,B.Tech Computer Science and Engineering,CSE,4,115,129032.00,active,2024-10-25 12:00:00
CRS_1063,INST_0382,B.Tech Mechanical Engineering,MECH,4,95,44775.00,active,2026-04-18 12:00:00
CRS_1064,INST_0382,B.Pharm,PHARM,4,143,137254.00,active,2026-07-07 12:00:00
CRS_1065,INST_0382,Diploma in Artificial Intelligence,DIP-AI,3,145,171566.00,active,2024-07-10 12:00:00
CRS_1066,INST_0387,MBA,MBA,2,152,147822.00,active,2026-05-09 12:00:00
CRS_1067,INST_0387,B.Arch,ARCH,5,71,234069.00,active,2023-09-27 12:00:00
CRS_1068,INST_0387,B.Tech Civil Engineering,CIVIL,4,54,79188.00,active,2021-10-17 12:00:00
CRS_1069,INST_0388,B.Arch,ARCH,5,180,198954.00,active,2021-07-25 12:00:00
CRS_107,INST_0039,B.Tech Chemical Engineering,CHEM,4,98,202625.00,active,2026-08-04 12:00:00
CRS_1070,INST_0388,B.Tech Aerospace Engineering,AE,4,87,102822.00,active,2021-06-25 12:00:00
CRS_1071,INST_0388,B.Tech Information Technology,IT,4,139,61978.00,active,2026-04-28 12:00:00
CRS_1072,INST_0255,M.Tech Data Science,PG-DS,2,69,111480.00,active,2026-08-13 12:00:00
CRS_1073,INST_0255,MCA,MCA,3,85,216795.00,active,2021-09-23 12:00:00
CRS_1074,INST_0255,B.Tech Cybersecurity and Digital Forensics,CYS,4,46,79261.00,active,2026-06-26 12:00:00
CRS_1075,INST_0255,B.Tech Computer Science and Business Systems,CSBS,4,43,26794.00,active,2021-11-23 12:00:00
CRS_1076,INST_0390,Diploma in Mechanical Engineering,DIP-MECH,3,165,167738.00,active,2026-04-22 12:00:00
CRS_1077,INST_0390,Diploma in Electrical Engineering,DIP-EEE,3,155,82192.00,active,2022-06-01 12:00:00
CRS_1078,INST_0382,B.Tech Internet of Things,IOT,4,144,232247.00,active,2026-06-18 12:00:00
CRS_1079,INST_0382,B.Tech Computer Science and Engineering,CSE,4,122,64515.00,closed,2026-06-07 12:00:00
CRS_108,INST_0039,Diploma in Civil Engineering,DIP-CIVIL,3,65,35505.00,active,2025-06-20 12:00:00
CRS_1080,INST_0382,B.Tech Electronics and Communication Engineering,ECE,4,139,185103.00,active,2024-04-04 12:00:00
CRS_1081,INST_0392,Diploma in Civil Engineering,DIP-CIVIL,3,175,140132.00,active,2026-08-15 12:00:00
CRS_1082,INST_0392,B.Tech Automobile Engineering,AUTO,4,137,172179.00,active,2024-02-26 12:00:00
CRS_1083,INST_0392,B.Tech Internet of Things,IOT,4,179,191216.00,active,2021-08-11 12:00:00
CRS_1084,INST_0392,B.Tech Electronics and Communication Engineering,ECE,4,44,46143.00,active,2024-07-15 12:00:00
CRS_1085,INST_0394,B.Tech Chemical Engineering,CHEM,4,176,104102.00,active,2026-06-10 12:00:00
CRS_1086,INST_0394,M.Tech Artificial Intelligence,PG-AI,2,109,181498.00,active,2023-06-25 12:00:00
CRS_1087,INST_0395,B.Tech Aerospace Engineering,AE,4,106,106011.00,active,2026-08-15 12:00:00
CRS_1088,INST_0395,B.Tech Robotics and Automation,ROB,4,150,247480.00,active,2026-07-14 12:00:00
CRS_1089,INST_0396,B.Tech Computer Science and Engineering,CSE,4,86,189450.00,active,2022-09-17 12:00:00
CRS_109,INST_0039,M.Tech Computer Science,PG-CSE,2,146,64091.00,active,2026-04-24 12:00:00
CRS_1090,INST_0396,B.Tech Internet of Things,IOT,4,79,33836.00,active,2022-03-05 12:00:00
CRS_1091,INST_0397,B.Tech Cybersecurity and Digital Forensics,CYS,4,42,244868.00,active,2022-08-17 12:00:00
CRS_1092,INST_0397,B.Tech Aerospace Engineering,AE,4,92,171878.00,active,2026-05-18 12:00:00
CRS_1093,INST_0399,B.Tech Computer Science and Business Systems,CSBS,4,163,121158.00,active,2021-07-08 12:00:00
CRS_1094,INST_0399,B.Tech Computer Science and Engineering,CSE,4,118,76147.00,active,2023-07-08 12:00:00
CRS_1095,INST_0399,M.Tech Computer Science,PG-CSE,2,57,115471.00,active,2026-05-29 12:00:00
CRS_1096,INST_0399,B.Tech Aerospace Engineering,AE,4,60,158804.00,active,2023-03-14 12:00:00
CRS_1097,INST_0400,B.Tech Civil Engineering,CIVIL,4,137,82830.00,active,2023-10-04 12:00:00
CRS_1098,INST_0400,B.Tech Robotics and Automation,ROB,4,169,104644.00,active,2026-07-27 12:00:00
CRS_1099,INST_0255,M.Tech Power Systems,PG-EEE,2,57,217296.00,active,2021-12-15 12:00:00
CRS_11,INST_0006,B.Tech Internet of Things,IOT,4,132,208081.00,active,2026-07-31 12:00:00
CRS_110,INST_0039,B.Tech Data Science,DS,4,125,46398.00,active,2025-06-25 12:00:00
CRS_1100,INST_0255,B.Tech Electronics and Communication Engineering,ECE,4,159,109048.00,closed,2023-06-25 12:00:00
CRS_1101,INST_0255,B.Arch,ARCH,5,99,228155.00,active,2026-04-20 12:00:00
CRS_1102,INST_0403,Diploma in Electrical Engineering,DIP-EEE,3,122,29366.00,active,2025-04-25 12:00:00
CRS_1103,INST_0403,B.Tech Chemical Engineering,CHEM,4,105,132247.00,active,2023-09-26 12:00:00
CRS_1104,INST_0403,MBA Business Analytics,MBA-BA,2,32,79208.00,active,2026-08-11 12:00:00
CRS_1105,INST_0404,B.Tech Artificial Intelligence and Data Science,AIDS,4,71,151752.00,active,2021-10-04 12:00:00
CRS_1106,INST_0404,B.Tech Electronics and Communication Engineering,ECE,4,54,106977.00,active,2022-12-01 12:00:00
CRS_1107,INST_0404,M.Tech VLSI Design,PG-ECE,2,167,157297.00,active,2026-05-02 12:00:00
CRS_1108,INST_0404,B.Tech Computer Science and Business Systems,CSBS,4,33,233220.00,closed,2023-05-19 12:00:00
CRS_1109,INST_0255,Diploma in Artificial Intelligence,DIP-AI,3,118,244924.00,active,2026-07-06 12:00:00
CRS_111,INST_0040,B.Tech Civil Engineering,CIVIL,4,69,234649.00,active,2026-05-10 12:00:00
CRS_1110,INST_0255,B.Tech Civil Engineering,CIVIL,4,119,105454.00,active,2021-09-14 12:00:00
CRS_1111,INST_0255,B.Tech Artificial Intelligence and Data Science,AIDS,4,105,80405.00,active,2021-09-03 12:00:00
CRS_1112,INST_0255,B.Tech Chemical Engineering,CHEM,4,63,64398.00,active,2026-07-27 12:00:00
CRS_1113,INST_0406,B.Tech Electronics and Communication Engineering,ECE,4,37,48122.00,active,2023-06-09 12:00:00
CRS_1114,INST_0406,Diploma in Computer Engineering,DIP-CSE,3,167,113461.00,active,2026-08-04 12:00:00
CRS_1115,INST_0382,B.Tech Cybersecurity and Digital Forensics,CYS,4,66,132414.00,active,2026-08-02 12:00:00
CRS_1116,INST_0382,B.Tech Artificial Intelligence and Machine Learning,AIML,4,177,65381.00,active,2026-08-03 12:00:00
CRS_1117,INST_0382,B.Tech Mechanical Engineering,MECH,4,160,210139.00,active,2026-08-07 12:00:00
CRS_1118,INST_0011,B.Tech Biotechnology,BT,4,98,77653.00,active,2026-05-18 12:00:00
CRS_1119,INST_0255,B.Pharm,PHARM,4,98,243021.00,active,2023-04-07 12:00:00
CRS_112,INST_0040,B.Tech Internet of Things,IOT,4,89,53426.00,active,2026-05-01 12:00:00
CRS_1120,INST_0409,Diploma in Computer Engineering,DIP-CSE,3,171,151533.00,active,2026-05-01 12:00:00
CRS_1121,INST_0409,MBA Business Analytics,MBA-BA,2,108,71964.00,active,2024-03-25 12:00:00
CRS_1122,INST_0410,B.Arch,ARCH,5,88,178588.00,active,2026-07-17 12:00:00
CRS_1123,INST_0410,B.Tech Electrical and Electronics Engineering,EEE,4,42,33368.00,active,2026-06-06 12:00:00
CRS_1124,INST_0411,B.Tech Biotechnology,BT,4,157,60928.00,active,2026-07-09 12:00:00
CRS_1125,INST_0411,B.Tech Cybersecurity and Digital Forensics,CYS,4,30,225391.00,active,2025-03-06 12:00:00
CRS_1126,INST_0412,B.Tech Chemical Engineering,CHEM,4,103,179260.00,active,2022-09-24 12:00:00
CRS_1127,INST_0412,M.Tech Power Systems,PG-EEE,2,84,216179.00,active,2023-09-15 12:00:00
CRS_1128,INST_0412,Diploma in Artificial Intelligence,DIP-AI,3,87,35231.00,active,2026-06-19 12:00:00
CRS_1129,INST_0412,MBA,MBA,2,76,70304.00,closed,2026-07-19 12:00:00
CRS_113,INST_0040,Diploma in Computer Engineering,DIP-CSE,3,144,237850.00,closed,2026-05-28 12:00:00
CRS_1130,INST_0255,B.Tech Information Technology,IT,4,99,217771.00,active,2023-05-11 12:00:00
CRS_1131,INST_0255,Diploma in Civil Engineering,DIP-CIVIL,3,121,33220.00,active,2022-04-22 12:00:00
CRS_1132,INST_0255,B.Tech Aerospace Engineering,AE,4,40,241871.00,active,2023-08-25 12:00:00
CRS_1133,INST_0255,Diploma in Artificial Intelligence,DIP-AI,3,78,232603.00,active,2021-11-01 12:00:00
CRS_1134,INST_0415,B.Tech Biotechnology,BT,4,58,43785.00,active,2024-07-16 12:00:00
CRS_1135,INST_0415,B.Tech Automobile Engineering,AUTO,4,157,214205.00,closed,2026-07-20 12:00:00
CRS_1136,INST_0415,B.Tech Computer Science and Engineering,CSE,4,108,71179.00,active,2026-08-05 12:00:00
CRS_1137,INST_0416,B.Tech Artificial Intelligence and Machine Learning,AIML,4,134,35246.00,closed,2023-01-10 12:00:00
CRS_1138,INST_0416,M.Tech Power Systems,PG-EEE,2,37,33086.00,active,2026-08-03 12:00:00
CRS_1139,INST_0255,B.Tech Aerospace Engineering,AE,4,40,29798.00,active,2022-01-05 12:00:00
CRS_114,INST_0040,B.Tech Cybersecurity and Digital Forensics,CYS,4,36,224313.00,active,2026-08-05 12:00:00
CRS_1140,INST_0255,M.Tech Data Science,PG-DS,2,94,74235.00,active,2026-05-10 12:00:00
CRS_1141,INST_0340,B.Tech Artificial Intelligence and Data Science,AIDS,4,64,96590.00,active,2026-06-06 12:00:00
CRS_1142,INST_0418,B.Pharm,PHARM,4,109,83367.00,active,2023-08-16 12:00:00
CRS_1143,INST_0418,B.Tech Data Science,DS,4,173,225085.00,active,2021-08-19 12:00:00
CRS_1144,INST_0418,Diploma in Computer Engineering,DIP-CSE,3,106,157673.00,active,2025-06-20 12:00:00
CRS_1145,INST_0382,B.Tech Mechanical Engineering,MECH,4,65,85766.00,active,2023-03-31 12:00:00
CRS_1146,INST_0382,B.Tech Information Technology,IT,4,159,143720.00,active,2023-01-29 12:00:00
CRS_1147,INST_0382,B.Tech Electronics and Communication Engineering,ECE,4,103,171557.00,active,2022-07-21 12:00:00
CRS_1148,INST_0420,B.Tech Computer Science and Engineering,CSE,4,147,161845.00,active,2026-06-29 12:00:00
CRS_1149,INST_0420,B.Tech Artificial Intelligence and Machine Learning,AIML,4,144,27883.00,active,2026-06-16 12:00:00
CRS_115,INST_0041,B.Tech Computer Science and Business Systems,CSBS,4,34,92057.00,active,2024-07-21 12:00:00
CRS_1150,INST_0420,B.Tech Civil Engineering,CIVIL,4,156,102716.00,active,2026-04-30 12:00:00
CRS_1151,INST_0421,Diploma in Computer Engineering,DIP-CSE,3,154,42916.00,active,2022-08-01 12:00:00
CRS_1152,INST_0421,B.Arch,ARCH,5,177,115557.00,active,2024-01-08 12:00:00
CRS_1153,INST_0421,M.Tech Power Systems,PG-EEE,2,176,43847.00,active,2023-07-10 12:00:00
CRS_1154,INST_0422,MCA,MCA,3,63,36696.00,active,2023-03-10 12:00:00
CRS_1155,INST_0422,B.Tech Automobile Engineering,AUTO,4,106,137007.00,active,2025-01-12 12:00:00
CRS_1156,INST_0422,B.Tech Artificial Intelligence and Data Science,AIDS,4,96,106624.00,active,2026-04-30 12:00:00
CRS_1157,INST_0422,B.Tech Internet of Things,IOT,4,75,135319.00,active,2024-04-25 12:00:00
CRS_1158,INST_0423,MBA,MBA,2,163,77519.00,active,2024-11-12 12:00:00
CRS_1159,INST_0423,B.Tech Civil Engineering,CIVIL,4,62,203937.00,active,2023-01-05 12:00:00
CRS_116,INST_0041,B.Tech Electrical and Electronics Engineering,EEE,4,85,57872.00,active,2026-07-28 12:00:00
CRS_1160,INST_0423,B.Tech Cybersecurity and Digital Forensics,CYS,4,147,229226.00,active,2026-06-20 12:00:00
CRS_1161,INST_0255,B.Tech Electronics and Communication Engineering,ECE,4,72,27157.00,active,2026-05-19 12:00:00
CRS_1162,INST_0255,M.Tech VLSI Design,PG-ECE,2,118,243094.00,active,2026-05-19 12:00:00
CRS_1163,INST_0255,B.Arch,ARCH,5,47,118580.00,active,2026-05-01 12:00:00
CRS_1164,INST_0255,Diploma in Civil Engineering,DIP-CIVIL,3,102,63083.00,active,2026-08-10 12:00:00
CRS_1165,INST_0425,B.Tech Civil Engineering,CIVIL,4,47,31544.00,active,2026-06-06 12:00:00
CRS_1166,INST_0425,Diploma in Electrical Engineering,DIP-EEE,3,172,200633.00,active,2024-08-31 12:00:00
CRS_1167,INST_0425,B.Pharm,PHARM,4,110,160151.00,active,2021-12-01 12:00:00
CRS_1168,INST_0426,MBA,MBA,2,113,177932.00,active,2026-07-07 12:00:00
CRS_1169,INST_0426,B.Tech Civil Engineering,CIVIL,4,113,42604.00,active,2026-06-01 12:00:00
CRS_117,INST_0042,Diploma in Computer Engineering,DIP-CSE,3,166,208459.00,active,2026-08-16 12:00:00
CRS_1170,INST_0426,B.Tech Mechanical Engineering,MECH,4,67,34186.00,active,2026-07-28 12:00:00
CRS_1171,INST_0426,B.Arch,ARCH,5,106,244630.00,active,2025-01-08 12:00:00
CRS_1172,INST_0427,B.Tech Internet of Things,IOT,4,96,77965.00,active,2026-06-25 12:00:00
CRS_1173,INST_0427,B.Tech Biotechnology,BT,4,119,85130.00,active,2026-05-30 12:00:00
CRS_1174,INST_0428,B.Tech Robotics and Automation,ROB,4,45,56782.00,active,2023-06-20 12:00:00
CRS_1175,INST_0428,B.Tech Internet of Things,IOT,4,147,149366.00,active,2026-07-04 12:00:00
CRS_1176,INST_0225,MBA,MBA,2,117,121221.00,active,2026-05-08 12:00:00
CRS_1177,INST_0429,B.Tech Civil Engineering,CIVIL,4,64,159241.00,active,2026-04-22 12:00:00
CRS_1178,INST_0429,M.Tech Data Science,PG-DS,2,120,84354.00,active,2026-05-04 12:00:00
CRS_1179,INST_0429,Diploma in Artificial Intelligence,DIP-AI,3,73,26420.00,active,2026-06-11 12:00:00
CRS_118,INST_0042,B.Tech Artificial Intelligence and Machine Learning,AIML,4,62,115653.00,active,2026-06-17 12:00:00
CRS_1180,INST_0430,B.Tech Civil Engineering,CIVIL,4,133,132386.00,active,2022-12-07 12:00:00
CRS_1181,INST_0430,B.Tech Electrical and Electronics Engineering,EEE,4,134,196151.00,active,2026-08-06 12:00:00
CRS_1182,INST_0430,B.Tech Aerospace Engineering,AE,4,99,157273.00,active,2026-06-04 12:00:00
CRS_1183,INST_0431,MBA Business Analytics,MBA-BA,2,67,147065.00,active,2026-06-25 12:00:00
CRS_1184,INST_0431,B.Pharm,PHARM,4,98,196141.00,active,2026-05-30 12:00:00
CRS_1185,INST_0432,M.Tech VLSI Design,PG-ECE,2,53,228539.00,active,2026-05-15 12:00:00
CRS_1186,INST_0432,B.Tech Automobile Engineering,AUTO,4,77,145951.00,active,2022-01-25 12:00:00
CRS_1187,INST_0432,MBA Business Analytics,MBA-BA,2,130,191083.00,active,2024-09-21 12:00:00
CRS_1188,INST_0382,Diploma in Artificial Intelligence,DIP-AI,3,92,89707.00,active,2026-07-16 12:00:00
CRS_1189,INST_0382,MBA,MBA,2,117,56401.00,active,2022-12-11 12:00:00
CRS_119,INST_0042,B.Tech Data Science,DS,4,62,38142.00,active,2026-07-25 12:00:00
CRS_1190,INST_0435,B.Tech Cybersecurity and Digital Forensics,CYS,4,52,209348.00,active,2022-07-06 12:00:00
CRS_1191,INST_0435,B.Tech Automobile Engineering,AUTO,4,156,79917.00,active,2026-05-07 12:00:00
CRS_1192,INST_0382,B.Tech Computer Science and Business Systems,CSBS,4,36,70406.00,active,2022-03-13 12:00:00
CRS_1193,INST_0382,Diploma in Electrical Engineering,DIP-EEE,3,157,163218.00,active,2026-06-27 12:00:00
CRS_1194,INST_0382,B.Tech Data Science,DS,4,42,200886.00,active,2026-04-26 12:00:00
CRS_1195,INST_0437,M.Tech VLSI Design,PG-ECE,2,162,58513.00,active,2021-12-10 12:00:00
CRS_1196,INST_0437,B.Tech Robotics and Automation,ROB,4,161,45479.00,active,2026-05-23 12:00:00
CRS_1197,INST_0438,Diploma in Electrical Engineering,DIP-EEE,3,162,45094.00,active,2024-12-28 12:00:00
CRS_1198,INST_0438,B.Tech Computer Science and Engineering,CSE,4,177,207143.00,active,2026-07-12 12:00:00
CRS_1199,INST_0382,B.Tech Artificial Intelligence and Data Science,AIDS,4,62,113626.00,active,2026-04-18 12:00:00
CRS_12,INST_0006,B.Tech Computer Science and Business Systems,CSBS,4,128,210017.00,active,2025-06-09 12:00:00
CRS_120,INST_0042,B.Tech Aerospace Engineering,AE,4,132,72544.00,closed,2026-07-31 12:00:00
CRS_1200,INST_0382,M.Tech Data Science,PG-DS,2,103,237359.00,active,2026-05-06 12:00:00
CRS_1201,INST_0382,M.Tech Power Systems,PG-EEE,2,102,145683.00,active,2026-07-08 12:00:00
CRS_1202,INST_0382,MBA,MBA,2,92,158646.00,closed,2026-06-18 12:00:00
CRS_1203,INST_0255,B.Tech Information Technology,IT,4,87,101926.00,active,2026-07-31 12:00:00
CRS_1204,INST_0255,B.Tech Chemical Engineering,CHEM,4,124,153385.00,closed,2026-06-13 12:00:00
CRS_1205,INST_0441,B.Tech Civil Engineering,CIVIL,4,127,213892.00,active,2026-06-22 12:00:00
CRS_1206,INST_0441,MCA,MCA,3,52,77407.00,active,2022-09-05 12:00:00
CRS_1207,INST_0441,M.Tech Computer Science,PG-CSE,2,170,47573.00,active,2024-08-18 12:00:00
CRS_1208,INST_0442,B.Tech Electronics and Communication Engineering,ECE,4,34,48608.00,active,2026-06-27 12:00:00
CRS_1209,INST_0442,M.Tech Artificial Intelligence,PG-AI,2,149,75088.00,active,2022-07-12 12:00:00
CRS_121,INST_0043,M.Tech Computer Science,PG-CSE,2,144,186453.00,active,2026-06-12 12:00:00
CRS_1210,INST_0442,B.Tech Information Technology,IT,4,96,181829.00,active,2026-06-21 12:00:00
CRS_1211,INST_0443,B.Tech Aerospace Engineering,AE,4,145,114827.00,active,2022-01-06 12:00:00
CRS_1212,INST_0443,Diploma in Mechanical Engineering,DIP-MECH,3,152,200068.00,active,2026-05-09 12:00:00
CRS_1213,INST_0443,M.Tech Computer Science,PG-CSE,2,179,227760.00,active,2022-01-03 12:00:00
CRS_1214,INST_0444,M.Tech Power Systems,PG-EEE,2,69,103375.00,active,2026-05-23 12:00:00
CRS_1215,INST_0444,B.Tech Automobile Engineering,AUTO,4,33,106292.00,active,2025-02-15 12:00:00
CRS_1216,INST_0445,Diploma in Computer Engineering,DIP-CSE,3,168,236612.00,active,2025-05-15 12:00:00
CRS_1217,INST_0445,MCA,MCA,3,152,47812.00,active,2026-07-07 12:00:00
CRS_1218,INST_0445,B.Tech Mechanical Engineering,MECH,4,61,44372.00,active,2026-04-28 12:00:00
CRS_1219,INST_0445,Diploma in Artificial Intelligence,DIP-AI,3,31,56217.00,active,2024-04-01 12:00:00
CRS_122,INST_0043,M.Tech Artificial Intelligence,PG-AI,2,87,90617.00,active,2026-07-29 12:00:00
CRS_1220,INST_0011,B.Tech Electronics and Communication Engineering,ECE,4,139,227646.00,active,2026-07-02 12:00:00
CRS_1221,INST_0255,B.Tech Data Science,DS,4,91,164399.00,active,2026-05-13 12:00:00
CRS_1222,INST_0255,Diploma in Civil Engineering,DIP-CIVIL,3,40,134430.00,active,2022-12-11 12:00:00
CRS_1223,INST_0255,Diploma in Computer Engineering,DIP-CSE,3,84,142289.00,active,2026-04-24 12:00:00
